"CPT only copyright 2024 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2024 Part B National Summary Data File 
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17546,,,,,,
CARDIOVASCULAR,33130,TOTAL,32 ,"$21,768.47 ","$16,279.40 ",
CARDIOVASCULAR,33140,80S,N/A,$229.39 ,$179.84 ,
CARDIOVASCULAR,33140,TOTAL,N/A,$229.39 ,$179.84 ,
CARDIOVASCULAR,33141,80S,N/A,$131.87 ,$105.91 ,
CARDIOVASCULAR,33141,OTHER,17 ,"$2,047.56 ","$1,632.36 ",
CARDIOVASCULAR,33141,TOTAL,25 ,"$2,179.43 ","$1,738.27 ",
CARDIOVASCULAR,33202,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33202,OTHER,433 ,"$239,903.61 ","$189,243.91 ",
CARDIOVASCULAR,33202,TOTAL,433 ,"$239,903.61 ","$189,243.91 ",
CARDIOVASCULAR,33203,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33203,OTHER,47 ,"$33,482.52 ","$26,662.37 ",
CARDIOVASCULAR,33203,TOTAL,47 ,"$33,482.52 ","$26,662.37 ",
CARDIOVASCULAR,33206,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33206,OTHER,987 ,"$532,229.83 ","$418,384.27 ",
CARDIOVASCULAR,33206,TOTAL,987 ,"$532,229.83 ","$418,384.27 ",
CARDIOVASCULAR,33207,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33207,OTHER,"9,044 ","$5,459,404.74 ","$4,265,915.41 ",
CARDIOVASCULAR,33207,TOTAL,"9,044 ","$5,459,404.74 ","$4,265,915.41 ",
CARDIOVASCULAR,33208,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33208,SG,N/A,"$61,990.91 ","$43,635.74 ",
CARDIOVASCULAR,33208,OTHER,"89,844 ","$65,524,941.64 ","$51,187,321.34 ",
CARDIOVASCULAR,33208,TOTAL,"89,852 ","$65,586,932.55 ","$51,230,957.08 ",
CARDIOVASCULAR,33210,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33210,OTHER,"9,244 ","$1,407,067.14 ","$1,095,782.76 ",
CARDIOVASCULAR,33210,TOTAL,"9,244 ","$1,407,067.14 ","$1,095,782.76 ",
CARDIOVASCULAR,33211,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33211,OTHER,111 ,"$16,204.89 ","$12,714.37 ",
CARDIOVASCULAR,33211,TOTAL,111 ,"$16,204.89 ","$12,714.37 ",
CARDIOVASCULAR,33212,OTHER,132 ,"$60,905.91 ","$47,924.63 ",
CARDIOVASCULAR,33212,TOTAL,132 ,"$60,905.91 ","$47,924.63 ",
CARDIOVASCULAR,33213,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33213,OTHER,797 ,"$358,652.48 ","$277,173.91 ",
CARDIOVASCULAR,33213,TOTAL,797 ,"$358,652.48 ","$277,173.91 ",
CARDIOVASCULAR,33214,80S,N/A,$100.92 ,$79.39 ,
CARDIOVASCULAR,33214,OTHER,201 ,"$114,469.59 ","$89,230.61 ",
CARDIOVASCULAR,33214,TOTAL,203 ,"$114,570.51 ","$89,310.00 ",
CARDIOVASCULAR,33215,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33215,SG,N/A,"$1,626.33 ","$1,275.04 ",
CARDIOVASCULAR,33215,OTHER,"2,420 ","$701,404.93 ","$545,572.44 ",
CARDIOVASCULAR,33215,TOTAL,"2,421 ","$703,031.26 ","$546,847.48 ",
CARDIOVASCULAR,33216,SG,N/A,"$6,586.22 ","$5,163.60 ",
CARDIOVASCULAR,33216,OTHER,"3,128 ","$1,166,947.52 ","$914,648.87 ",
CARDIOVASCULAR,33216,TOTAL,"3,129 ","$1,173,533.74 ","$919,812.47 ",
CARDIOVASCULAR,33217,OTHER,390 ,"$131,928.79 ","$100,905.71 ",
CARDIOVASCULAR,33217,TOTAL,390 ,"$131,928.79 ","$100,905.71 ",
CARDIOVASCULAR,33218,OTHER,278 ,"$94,600.93 ","$73,874.76 ",
CARDIOVASCULAR,33218,TOTAL,278 ,"$94,600.93 ","$73,874.76 ",
CARDIOVASCULAR,33220,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33220,OTHER,70 ,"$24,609.29 ","$18,802.06 ",
CARDIOVASCULAR,33220,TOTAL,70 ,"$24,609.29 ","$18,802.06 ",
CARDIOVASCULAR,33221,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33221,OTHER,169 ,"$117,425.29 ","$91,815.25 ",
CARDIOVASCULAR,33221,TOTAL,169 ,"$117,425.29 ","$91,815.25 ",
CARDIOVASCULAR,33222,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33222,OTHER,"1,657 ","$405,869.33 ","$315,068.58 ",
CARDIOVASCULAR,33222,TOTAL,"1,657 ","$405,869.33 ","$315,068.58 ",
CARDIOVASCULAR,33223,80S,N/A,$210.90 ,$170.75 ,
CARDIOVASCULAR,33223,OTHER,855 ,"$338,471.81 ","$264,231.69 ",
CARDIOVASCULAR,33223,TOTAL,859 ,"$338,682.71 ","$264,402.44 ",
CARDIOVASCULAR,33224,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33224,OTHER,651 ,"$390,993.77 ","$305,806.75 ",
CARDIOVASCULAR,33224,TOTAL,651 ,"$390,993.77 ","$305,806.75 ",
CARDIOVASCULAR,33225,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33225,SG,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33225,OTHER,"23,483 ","$10,452,755.15 ","$8,229,586.19 ",
CARDIOVASCULAR,33225,TOTAL,"23,483 ","$10,452,755.15 ","$8,229,586.19 ",
CARDIOVASCULAR,33226,OTHER,126 ,"$61,979.79 ","$48,799.74 ",
CARDIOVASCULAR,33226,TOTAL,126 ,"$61,979.79 ","$48,799.74 ",
CARDIOVASCULAR,33227,OTHER,"2,060 ","$1,373,130.54 ","$1,063,667.39 ",
CARDIOVASCULAR,33227,TOTAL,"2,060 ","$1,373,130.54 ","$1,063,667.39 ",
CARDIOVASCULAR,33228,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33228,SG,30 ,"$244,799.69 ","$191,476.69 ",
CARDIOVASCULAR,33228,OTHER,"31,572 ","$24,986,101.98 ","$19,347,960.45 ",
CARDIOVASCULAR,33228,TOTAL,"31,602 ","$25,230,901.67 ","$19,539,437.14 ",
CARDIOVASCULAR,33229,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33229,SG,N/A,"$42,193.82 ","$33,079.96 ",
CARDIOVASCULAR,33229,OTHER,"6,812 ","$6,507,687.56 ","$5,068,220.43 ",
CARDIOVASCULAR,33229,TOTAL,"6,815 ","$6,549,881.38 ","$5,101,300.39 ",
CARDIOVASCULAR,33230,OTHER,78 ,"$26,187.11 ","$20,551.18 ",
CARDIOVASCULAR,33230,TOTAL,78 ,"$26,187.11 ","$20,551.18 ",
CARDIOVASCULAR,33231,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33231,OTHER,85 ,"$78,299.61 ","$61,321.31 ",
CARDIOVASCULAR,33231,TOTAL,85 ,"$78,299.61 ","$61,321.31 ",
CARDIOVASCULAR,33233,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33233,OTHER,"7,270 ","$2,025,774.92 ","$1,588,564.98 ",
CARDIOVASCULAR,33233,TOTAL,"7,270 ","$2,025,774.92 ","$1,588,564.98 ",
CARDIOVASCULAR,33234,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33234,OTHER,"2,365 ","$949,290.39 ","$746,530.54 ",
CARDIOVASCULAR,33234,TOTAL,"2,365 ","$949,290.39 ","$746,530.54 ",
CARDIOVASCULAR,33235,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33235,OTHER,"3,994 ","$2,251,945.40 ","$1,772,625.27 ",
CARDIOVASCULAR,33235,TOTAL,"3,994 ","$2,251,945.40 ","$1,772,625.27 ",
CARDIOVASCULAR,33236,OTHER,N/A,"$4,059.84 ","$2,976.43 ",
CARDIOVASCULAR,33236,TOTAL,N/A,"$4,059.84 ","$2,976.43 ",
CARDIOVASCULAR,33237,80S,N/A,$188.00 ,$148.82 ,
CARDIOVASCULAR,33237,OTHER,27 ,"$15,288.46 ","$12,295.09 ",
CARDIOVASCULAR,33237,TOTAL,30 ,"$15,476.46 ","$12,443.91 ",
CARDIOVASCULAR,33238,80S,N/A,$442.31 ,$347.55 ,
CARDIOVASCULAR,33238,OTHER,56 ,"$34,270.13 ","$27,319.22 ",
CARDIOVASCULAR,33238,TOTAL,62 ,"$34,712.44 ","$27,666.77 ",
CARDIOVASCULAR,33240,OTHER,50 ,"$16,364.27 ","$13,002.92 ",
CARDIOVASCULAR,33240,TOTAL,50 ,"$16,364.27 ","$13,002.92 ",
CARDIOVASCULAR,33241,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33241,SG,N/A,"$2,378.89 ","$1,865.05 ",
CARDIOVASCULAR,33241,OTHER,"4,393 ","$617,520.82 ","$484,836.94 ",
CARDIOVASCULAR,33241,TOTAL,"4,394 ","$619,899.71 ","$486,701.99 ",
CARDIOVASCULAR,33243,80S,58 ,"$6,295.80 ","$5,014.73 ",
CARDIOVASCULAR,33243,OTHER,175 ,"$132,330.34 ","$105,704.54 ",
CARDIOVASCULAR,33243,TOTAL,233 ,"$138,626.14 ","$110,719.27 ",
CARDIOVASCULAR,33244,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33244,OTHER,"2,997 ","$2,070,352.72 ","$1,625,046.24 ",
CARDIOVASCULAR,33244,TOTAL,"2,997 ","$2,070,352.72 ","$1,625,046.24 ",
CARDIOVASCULAR,33249,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33249,SG,N/A,"$259,873.29 ","$203,543.44 ",
CARDIOVASCULAR,33249,OTHER,"28,777 ","$51,350,156.99 ","$40,187,104.71 ",
CARDIOVASCULAR,33249,TOTAL,"28,786 ","$51,610,030.28 ","$40,390,648.15 ",
CARDIOVASCULAR,33250,80S,N/A,$637.39 ,$504.87 ,
CARDIOVASCULAR,33250,OTHER,13 ,"$19,198.49 ","$14,163.14 ",
CARDIOVASCULAR,33250,TOTAL,16 ,"$19,835.88 ","$14,668.01 ",
CARDIOVASCULAR,33251,80S,N/A,"$1,058.61 ",$850.56 ,
CARDIOVASCULAR,33251,OTHER,13 ,"$11,294.46 ","$9,060.49 ",
CARDIOVASCULAR,33251,TOTAL,22 ,"$12,353.07 ","$9,911.05 ",
CARDIOVASCULAR,33254,80S,62 ,"$10,981.42 ","$8,655.90 ",
CARDIOVASCULAR,33254,OTHER,100 ,"$129,885.89 ","$100,658.91 ",
CARDIOVASCULAR,33254,TOTAL,162 ,"$140,867.31 ","$109,314.81 ",
CARDIOVASCULAR,33255,80S,24 ,"$5,829.20 ","$4,518.38 ",
CARDIOVASCULAR,33255,OTHER,55 ,"$85,921.30 ","$68,320.69 ",
CARDIOVASCULAR,33255,TOTAL,79 ,"$91,750.50 ","$72,839.07 ",
CARDIOVASCULAR,33256,80S,25 ,"$6,521.95 ","$5,042.90 ",
CARDIOVASCULAR,33256,OTHER,56 ,"$105,234.91 ","$83,690.33 ",
CARDIOVASCULAR,33256,TOTAL,81 ,"$111,756.86 ","$88,733.23 ",
CARDIOVASCULAR,33257,80S,"2,247 ","$180,821.40 ","$142,841.89 ",
CARDIOVASCULAR,33257,OTHER,"3,725 ","$2,128,726.38 ","$1,675,483.97 ",
CARDIOVASCULAR,33257,TOTAL,"5,972 ","$2,309,547.78 ","$1,818,325.86 ",
CARDIOVASCULAR,33258,80S,24 ,"$2,117.71 ","$1,686.47 ",
CARDIOVASCULAR,33258,OTHER,41 ,"$25,673.12 ","$20,425.25 ",
CARDIOVASCULAR,33258,TOTAL,65 ,"$27,790.83 ","$22,111.72 ",
CARDIOVASCULAR,33259,80S,"1,817 ","$214,032.34 ","$168,390.97 ",
CARDIOVASCULAR,33259,OTHER,"3,222 ","$2,687,062.26 ","$2,115,149.94 ",
CARDIOVASCULAR,33259,TOTAL,"5,039 ","$2,901,094.60 ","$2,283,540.91 ",
CARDIOVASCULAR,33261,80S,N/A,$580.16 ,$455.37 ,
CARDIOVASCULAR,33261,OTHER,11 ,"$8,990.88 ","$7,131.67 ",
CARDIOVASCULAR,33261,TOTAL,16 ,"$9,571.04 ","$7,587.04 ",
CARDIOVASCULAR,33262,OTHER,"1,807 ","$2,551,852.26 ","$1,986,712.53 ",
CARDIOVASCULAR,33262,TOTAL,"1,807 ","$2,551,852.26 ","$1,986,712.53 ",
CARDIOVASCULAR,33263,SG,N/A,"$20,079.18 ","$15,742.07 ",
CARDIOVASCULAR,33263,OTHER,"6,147 ","$10,548,035.03 ","$8,158,446.44 ",
CARDIOVASCULAR,33263,TOTAL,"6,148 ","$10,568,114.21 ","$8,174,188.51 ",
CARDIOVASCULAR,33264,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33264,SG,N/A,"$284,556.42 ","$223,092.21 ",
CARDIOVASCULAR,33264,OTHER,"12,729 ","$25,779,275.15 ","$20,048,950.38 ",
CARDIOVASCULAR,33264,TOTAL,"12,739 ","$26,063,831.57 ","$20,272,042.59 ",
CARDIOVASCULAR,33265,80S,144 ,"$25,642.07 ","$19,942.60 ",
CARDIOVASCULAR,33265,OTHER,314 ,"$400,541.63 ","$313,842.01 ",
CARDIOVASCULAR,33265,TOTAL,458 ,"$426,183.70 ","$333,784.61 ",
CARDIOVASCULAR,33266,80S,290 ,"$74,402.02 ","$57,848.25 ",
CARDIOVASCULAR,33266,OTHER,647 ,"$1,164,160.19 ","$924,102.05 ",
CARDIOVASCULAR,33266,TOTAL,937 ,"$1,238,562.21 ","$981,950.30 ",
CARDIOVASCULAR,33267,80S,76 ,"$7,755.24 ","$6,091.85 ",
CARDIOVASCULAR,33267,OTHER,248 ,"$162,240.24 ","$126,893.78 ",
CARDIOVASCULAR,33267,TOTAL,324 ,"$169,995.48 ","$132,985.63 ",
CARDIOVASCULAR,33268,80S,"5,938 ","$104,497.84 ","$82,416.18 ",
CARDIOVASCULAR,33268,OTHER,"10,398 ","$1,302,150.64 ","$1,027,563.27 ",
CARDIOVASCULAR,33268,TOTAL,"16,336 ","$1,406,648.48 ","$1,109,979.45 ",
CARDIOVASCULAR,33269,80S,231 ,"$25,322.23 ","$19,516.33 ",
CARDIOVASCULAR,33269,OTHER,371 ,"$281,776.52 ","$222,468.30 ",
CARDIOVASCULAR,33269,TOTAL,602 ,"$307,098.75 ","$241,984.63 ",
CARDIOVASCULAR,33270,OTHER,758 ,"$563,774.26 ","$439,250.74 ",
CARDIOVASCULAR,33270,TOTAL,758 ,"$563,774.26 ","$439,250.74 ",
CARDIOVASCULAR,33271,OTHER,25 ,"$9,566.53 ","$7,562.50 ",
CARDIOVASCULAR,33271,TOTAL,25 ,"$9,566.53 ","$7,562.50 ",
CARDIOVASCULAR,33272,OTHER,129 ,"$29,742.80 ","$23,228.58 ",
CARDIOVASCULAR,33272,TOTAL,129 ,"$29,742.80 ","$23,228.58 ",
CARDIOVASCULAR,33273,OTHER,11 ,"$3,973.60 ","$3,169.15 ",
CARDIOVASCULAR,33273,TOTAL,11 ,"$3,973.60 ","$3,169.15 ",
CARDIOVASCULAR,33274,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33274,OTHER,"15,411 ","$6,559,754.47 ","$5,169,352.20 ",
CARDIOVASCULAR,33274,TOTAL,"15,411 ","$6,559,754.47 ","$5,169,352.20 ",
CARDIOVASCULAR,33275,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33275,OTHER,73 ,"$28,334.80 ","$22,442.16 ",
CARDIOVASCULAR,33275,TOTAL,73 ,"$28,334.80 ","$22,442.16 ",
CARDIOVASCULAR,33276,OTHER,154 ,"$165,923.28 ","$130,034.10 ",
CARDIOVASCULAR,33276,TOTAL,154 ,"$165,923.28 ","$130,034.10 ",
CARDIOVASCULAR,33277,OTHER,N/A,$581.51 ,$472.76 ,
CARDIOVASCULAR,33277,TOTAL,N/A,$581.51 ,$472.76 ,
CARDIOVASCULAR,33278,OTHER,20 ,"$13,471.25 ","$10,264.60 ",
CARDIOVASCULAR,33278,TOTAL,20 ,"$13,471.25 ","$10,264.60 ",
CARDIOVASCULAR,33279,OTHER,11 ,"$3,539.04 ","$2,798.40 ",
CARDIOVASCULAR,33279,TOTAL,11 ,"$3,539.04 ","$2,798.40 ",
CARDIOVASCULAR,33280,OTHER,N/A,"$1,686.52 ","$1,342.69 ",
CARDIOVASCULAR,33280,TOTAL,N/A,"$1,686.52 ","$1,342.69 ",
CARDIOVASCULAR,33281,OTHER,N/A,"$2,562.26 ","$2,018.12 ",
CARDIOVASCULAR,33281,TOTAL,N/A,"$2,562.26 ","$2,018.12 ",
CARDIOVASCULAR,33285,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33285,SG,53 ,"$426,766.83 ","$334,208.80 ",
CARDIOVASCULAR,33285,OTHER,"71,432 ","$116,476,503.69 ","$90,894,447.74 ",
CARDIOVASCULAR,33285,TOTAL,"71,485 ","$116,903,270.52 ","$91,228,656.54 ",
CARDIOVASCULAR,33286,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33286,SG,19 ,"$7,946.51 ","$6,102.87 ",
CARDIOVASCULAR,33286,OTHER,"24,126 ","$2,204,586.02 ","$1,666,783.08 ",
CARDIOVASCULAR,33286,TOTAL,"24,145 ","$2,212,532.53 ","$1,672,885.95 ",
CARDIOVASCULAR,33287,OTHER,36 ,"$12,391.46 ","$9,616.19 ",
CARDIOVASCULAR,33287,TOTAL,36 ,"$12,391.46 ","$9,616.19 ",
CARDIOVASCULAR,33288,OTHER,19 ,"$9,652.40 ","$7,510.77 ",
CARDIOVASCULAR,33288,TOTAL,19 ,"$9,652.40 ","$7,510.77 ",
CARDIOVASCULAR,33289,80S,N/A,$104.74 ,$82.53 ,
CARDIOVASCULAR,33289,OTHER,"2,898 ","$2,949,018.50 ","$2,306,919.40 ",
CARDIOVASCULAR,33289,TOTAL,"2,900 ","$2,949,123.24 ","$2,307,001.93 ",
CARDIOVASCULAR,33300,80S,79 ,"$26,672.58 ","$21,044.16 ",
CARDIOVASCULAR,33300,OTHER,171 ,"$389,910.80 ","$308,563.87 ",
CARDIOVASCULAR,33300,TOTAL,250 ,"$416,583.38 ","$329,608.03 ",
CARDIOVASCULAR,33305,80S,103 ,"$60,781.29 ","$48,766.55 ",
CARDIOVASCULAR,33305,OTHER,173 ,"$695,113.13 ","$552,863.94 ",
CARDIOVASCULAR,33305,TOTAL,276 ,"$755,894.42 ","$601,630.49 ",
CARDIOVASCULAR,33310,80S,13 ,"$1,902.81 ","$1,513.46 ",
CARDIOVASCULAR,33310,OTHER,28 ,"$28,027.02 ","$22,193.23 ",
CARDIOVASCULAR,33310,TOTAL,41 ,"$29,929.83 ","$23,706.69 ",
CARDIOVASCULAR,33315,80S,75 ,"$15,941.97 ","$12,459.19 ",
CARDIOVASCULAR,33315,OTHER,125 ,"$188,923.04 ","$148,383.53 ",
CARDIOVASCULAR,33315,TOTAL,200 ,"$204,865.01 ","$160,842.72 ",
CARDIOVASCULAR,33320,80S,20 ,"$2,326.16 ","$1,841.25 ",
CARDIOVASCULAR,33320,OTHER,59 ,"$43,187.81 ","$34,380.86 ",
CARDIOVASCULAR,33320,TOTAL,79 ,"$45,513.97 ","$36,222.11 ",
CARDIOVASCULAR,33321,80S,N/A,$350.72 ,$274.96 ,
CARDIOVASCULAR,33321,OTHER,N/A,"$2,959.24 ","$2,320.05 ",
CARDIOVASCULAR,33321,TOTAL,N/A,"$3,309.96 ","$2,595.01 ",
CARDIOVASCULAR,33322,80S,42 ,"$5,654.69 ","$4,448.58 ",
CARDIOVASCULAR,33322,OTHER,75 ,"$62,199.03 ","$49,279.77 ",
CARDIOVASCULAR,33322,TOTAL,117 ,"$67,853.72 ","$53,728.35 ",
CARDIOVASCULAR,33330,80S,N/A,$456.80 ,$358.38 ,
CARDIOVASCULAR,33330,OTHER,N/A,"$4,366.58 ","$3,492.19 ",
CARDIOVASCULAR,33330,TOTAL,N/A,"$4,823.38 ","$3,850.57 ",
CARDIOVASCULAR,33335,80S,18 ,"$2,921.94 ","$2,304.68 ",
CARDIOVASCULAR,33335,OTHER,37 ,"$41,395.77 ","$32,738.92 ",
CARDIOVASCULAR,33335,TOTAL,55 ,"$44,317.71 ","$35,043.60 ",
CARDIOVASCULAR,33340,80S,189 ,"$22,275.66 ","$17,527.82 ",
CARDIOVASCULAR,33340,OTHER,"59,871 ","$41,253,427.85 ","$32,458,095.41 ",
CARDIOVASCULAR,33340,TOTAL,"60,060 ","$41,275,703.51 ","$32,475,623.23 ",
CARDIOVASCULAR,33361,80S,12 ,"$1,876.27 ","$1,484.41 ",
CARDIOVASCULAR,33361,OTHER,"104,128 ","$76,665,638.60 ","$60,401,849.79 ",
CARDIOVASCULAR,33361,TOTAL,"104,140 ","$76,667,514.87 ","$60,403,334.20 ",
CARDIOVASCULAR,33362,80S,N/A,$196.79 ,$155.89 ,
CARDIOVASCULAR,33362,OTHER,"1,892 ","$1,457,442.51 ","$1,152,107.93 ",
CARDIOVASCULAR,33362,TOTAL,"1,893 ","$1,457,639.30 ","$1,152,263.82 ",
CARDIOVASCULAR,33363,80S,N/A,$219.98 ,$172.63 ,
CARDIOVASCULAR,33363,OTHER,882 ,"$741,652.87 ","$584,321.17 ",
CARDIOVASCULAR,33363,TOTAL,884 ,"$741,872.85 ","$584,493.80 ",
CARDIOVASCULAR,33364,OTHER,36 ,"$28,657.12 ","$22,589.00 ",
CARDIOVASCULAR,33364,TOTAL,36 ,"$28,657.12 ","$22,589.00 ",
CARDIOVASCULAR,33365,80S,N/A,$91.93 ,$72.81 ,
CARDIOVASCULAR,33365,OTHER,156 ,"$125,177.87 ","$99,800.56 ",
CARDIOVASCULAR,33365,TOTAL,157 ,"$125,269.80 ","$99,873.37 ",
CARDIOVASCULAR,33366,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33366,OTHER,79 ,"$72,164.52 ","$57,077.22 ",
CARDIOVASCULAR,33366,TOTAL,79 ,"$72,164.52 ","$57,077.22 ",
CARDIOVASCULAR,33367,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33367,OTHER,38 ,"$22,439.71 ","$17,872.26 ",
CARDIOVASCULAR,33367,TOTAL,38 ,"$22,439.71 ","$17,872.26 ",
CARDIOVASCULAR,33368,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33368,OTHER,N/A,"$7,098.46 ","$5,675.69 ",
CARDIOVASCULAR,33368,TOTAL,N/A,"$7,098.46 ","$5,675.69 ",
CARDIOVASCULAR,33369,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33369,OTHER,N/A,"$6,956.58 ","$5,498.28 ",
CARDIOVASCULAR,33369,TOTAL,N/A,"$6,956.58 ","$5,498.28 ",
CARDIOVASCULAR,33370,80S,24 ,$543.04 ,$451.51 ,
CARDIOVASCULAR,33370,OTHER,"4,999 ","$661,465.41 ","$527,053.91 ",
CARDIOVASCULAR,33370,TOTAL,"5,023 ","$662,008.45 ","$527,505.42 ",
CARDIOVASCULAR,33390,80S,82 ,"$14,092.09 ","$11,123.01 ",
CARDIOVASCULAR,33390,OTHER,209 ,"$266,782.29 ","$211,479.15 ",
CARDIOVASCULAR,33390,TOTAL,291 ,"$280,874.38 ","$222,602.16 ",
CARDIOVASCULAR,33391,80S,58 ,"$11,529.74 ","$9,116.58 ",
CARDIOVASCULAR,33391,OTHER,134 ,"$178,770.56 ","$141,921.64 ",
CARDIOVASCULAR,33391,TOTAL,192 ,"$190,300.30 ","$151,038.22 ",
CARDIOVASCULAR,33405,80S,"6,996 ","$1,864,619.79 ","$1,461,262.26 ",
CARDIOVASCULAR,33405,OTHER,"11,669 ","$21,871,174.48 ","$17,196,319.81 ",
CARDIOVASCULAR,33405,TOTAL,"18,665 ","$23,735,794.27 ","$18,657,582.07 ",
CARDIOVASCULAR,33406,80S,N/A,"$3,397.82 ","$2,621.22 ",
CARDIOVASCULAR,33406,OTHER,20 ,"$52,027.65 ","$40,865.65 ",
CARDIOVASCULAR,33406,TOTAL,29 ,"$55,425.47 ","$43,486.87 ",
CARDIOVASCULAR,33410,80S,70 ,"$22,030.45 ","$17,297.39 ",
