CPT only copyright 2011 American Medical Association. All rights reserved.,,,,,,
,,,,,,
"2011 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18117,,,,,,
CARDIOVASCULAR,33208,TOTAL,"116,955","$63,715,785.52","$50,645,382.70",
CARDIOVASCULAR,33208,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33208,OTHER,"116,955","$63,715,785.52","$50,645,382.70",
CARDIOVASCULAR,33210,TOTAL,"21,214","$2,953,483.66","$2,342,423.17",
CARDIOVASCULAR,33210,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33210,OTHER,"21,214","$2,953,483.66","$2,342,423.17",
CARDIOVASCULAR,33211,TOTAL,759,"$104,610.31","$83,109.94",
CARDIOVASCULAR,33211,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33211,OTHER,759,"$104,610.31","$83,109.94",
CARDIOVASCULAR,33212,TOTAL,"10,998","$4,351,543.04","$3,445,722.41",
CARDIOVASCULAR,33212,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33212,SG,N/A,"$6,422.08","$5,137.66",
CARDIOVASCULAR,33212,OTHER,"10,998","$4,345,120.96","$3,440,584.75",
CARDIOVASCULAR,33213,TOTAL,"48,114","$21,353,068.17","$16,904,188.02",
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33213,SG,15,"$105,156.09","$84,124.92",
CARDIOVASCULAR,33213,OTHER,"48,099","$21,247,912.08","$16,820,063.10",
CARDIOVASCULAR,33214,TOTAL,686,"$321,671.66","$254,752.27",
CARDIOVASCULAR,33214,80S,N/A,$329.08,$263.26,
CARDIOVASCULAR,33214,OTHER,686,"$321,342.58","$254,489.01",
CARDIOVASCULAR,33215,TOTAL,"4,696","$1,262,482.74","$1,001,689.58",
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33215,OTHER,"4,696","$1,262,482.74","$1,001,689.58",
CARDIOVASCULAR,33216,TOTAL,"5,753","$1,742,370.09","$1,380,468.44",
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33216,OTHER,"5,753","$1,742,370.09","$1,380,468.44",
CARDIOVASCULAR,33217,TOTAL,"2,442","$733,700.81","$582,592.69",
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33217,OTHER,"2,442","$733,700.81","$582,592.69",
CARDIOVASCULAR,33218,TOTAL,746,"$232,563.98","$183,940.44",
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33218,OTHER,746,"$232,563.98","$183,940.44",
CARDIOVASCULAR,33220,TOTAL,434,"$141,188.20","$112,104.53",
CARDIOVASCULAR,33220,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33220,SG,N/A,$487.31,$389.85,
CARDIOVASCULAR,33220,OTHER,434,"$140,700.89","$111,714.68",
CARDIOVASCULAR,33222,TOTAL,"5,296","$1,283,905.60","$1,021,829.84",
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33222,SG,N/A,$737.86,$590.29,
CARDIOVASCULAR,33222,OTHER,"5,296","$1,283,167.74","$1,021,239.55",
CARDIOVASCULAR,33223,TOTAL,"6,194","$1,862,819.01","$1,476,544.25",
CARDIOVASCULAR,33223,80S,11,$711.64,$569.31,
CARDIOVASCULAR,33223,SG,N/A,$368.93,$295.14,
CARDIOVASCULAR,33223,OTHER,"6,183","$1,861,738.44","$1,475,679.80",
CARDIOVASCULAR,33224,TOTAL,"2,738","$1,251,077.87","$993,186.51",
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33224,OTHER,"2,738","$1,251,077.87","$993,186.51",
CARDIOVASCULAR,33225,TOTAL,"31,508","$15,337,419.13","$12,203,461.34",
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33225,OTHER,"31,508","$15,337,419.13","$12,203,461.34",
CARDIOVASCULAR,33226,TOTAL,683,"$337,626.29","$268,399.09",
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33226,OTHER,683,"$337,626.29","$268,399.09",
CARDIOVASCULAR,33233,TOTAL,"63,095","$8,450,018.37","$6,703,762.58",
CARDIOVASCULAR,33233,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33233,SG,N/A,"$4,385.79","$3,508.65",
CARDIOVASCULAR,33233,OTHER,"63,095","$8,445,632.58","$6,700,253.93",
CARDIOVASCULAR,33234,TOTAL,"3,650","$1,484,033.33","$1,181,610.00",
CARDIOVASCULAR,33234,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33234,OTHER,"3,650","$1,484,033.33","$1,181,610.00",
CARDIOVASCULAR,33235,TOTAL,"3,516","$2,097,848.90","$1,669,318.62",
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33235,OTHER,"3,516","$2,097,848.90","$1,669,318.62",
CARDIOVASCULAR,33236,TOTAL,62,"$39,556.35","$31,122.23",
CARDIOVASCULAR,33236,80S,N/A,$521.83,$417.48,
CARDIOVASCULAR,33236,OTHER,62,"$39,034.52","$30,704.75",
CARDIOVASCULAR,33237,TOTAL,56,"$38,770.58","$30,870.36",
CARDIOVASCULAR,33237,80S,N/A,$242.60,$194.08,
CARDIOVASCULAR,33237,OTHER,56,"$38,527.98","$30,676.28",
CARDIOVASCULAR,33238,TOTAL,108,"$69,230.19","$54,960.03",
CARDIOVASCULAR,33238,80S,11,"$1,173.00",$938.40,
CARDIOVASCULAR,33238,OTHER,97,"$68,057.19","$54,021.63",
CARDIOVASCULAR,33240,TOTAL,"35,561","$19,417,034.51","$15,323,081.17",
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33240,SG,N/A,"$45,506.74","$36,405.39",
CARDIOVASCULAR,33240,OTHER,"35,561","$19,371,527.77","$15,286,675.78",
CARDIOVASCULAR,33241,TOTAL,"43,773","$5,474,973.11","$4,327,035.13",
CARDIOVASCULAR,33241,80S,73,"$1,908.39","$1,526.76",
CARDIOVASCULAR,33241,SG,N/A,$974.62,$779.70,
CARDIOVASCULAR,33241,OTHER,"43,700","$5,472,090.10","$4,324,728.67",
CARDIOVASCULAR,33243,TOTAL,446,"$354,812.18","$281,482.34",
CARDIOVASCULAR,33243,80S,120,"$16,281.99","$12,933.80",
CARDIOVASCULAR,33243,OTHER,326,"$338,530.19","$268,548.54",
CARDIOVASCULAR,33244,TOTAL,"5,830","$4,372,429.65","$3,464,475.04",
CARDIOVASCULAR,33244,80S,N/A,$134.50,$107.60,
CARDIOVASCULAR,33244,OTHER,"5,830","$4,372,295.15","$3,464,367.44",
CARDIOVASCULAR,33249,TOTAL,"52,542","$50,599,477.87","$40,234,543.51",
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33249,OTHER,"52,542","$50,599,477.87","$40,234,543.51",
CARDIOVASCULAR,33250,TOTAL,12,"$17,402.02","$13,921.62",
CARDIOVASCULAR,33250,80S,N/A,$473.39,$378.72,
CARDIOVASCULAR,33250,OTHER,12,"$16,928.63","$13,542.90",
CARDIOVASCULAR,33251,TOTAL,68,"$42,916.24","$33,502.33",
CARDIOVASCULAR,33251,80S,26,"$3,211.79","$2,569.41",
CARDIOVASCULAR,33251,OTHER,42,"$39,704.45","$30,932.92",
CARDIOVASCULAR,33254,TOTAL,72,"$72,291.92","$57,703.91",
CARDIOVASCULAR,33254,80S,17,"$3,194.82","$2,555.86",
CARDIOVASCULAR,33254,OTHER,55,"$69,097.10","$55,148.05",
CARDIOVASCULAR,33255,TOTAL,74,"$93,055.61","$73,409.25",
CARDIOVASCULAR,33255,80S,18,"$4,143.89","$3,315.12",
CARDIOVASCULAR,33255,OTHER,56,"$88,911.72","$70,094.13",
CARDIOVASCULAR,33256,TOTAL,154,"$236,963.70","$186,575.32",
CARDIOVASCULAR,33256,80S,47,"$14,118.26","$10,849.22",
CARDIOVASCULAR,33256,OTHER,107,"$222,845.44","$175,726.10",
CARDIOVASCULAR,33257,TOTAL,"5,974","$2,459,952.19","$1,959,144.85",
CARDIOVASCULAR,33257,80S,"2,280","$203,691.35","$162,396.15",
CARDIOVASCULAR,33257,OTHER,"3,694","$2,256,260.84","$1,796,748.70",
CARDIOVASCULAR,33258,TOTAL,220,"$100,111.77","$80,244.30",
CARDIOVASCULAR,33258,80S,84,"$8,363.33","$6,711.99",
CARDIOVASCULAR,33258,OTHER,136,"$91,748.44","$73,532.31",
CARDIOVASCULAR,33259,TOTAL,"7,221","$4,296,990.96","$3,425,526.51",
CARDIOVASCULAR,33259,80S,"2,825","$368,676.21","$294,102.50",
CARDIOVASCULAR,33259,OTHER,"4,396","$3,928,314.75","$3,131,424.01",
CARDIOVASCULAR,33261,TOTAL,22,"$20,720.79","$16,576.64",
CARDIOVASCULAR,33261,80S,N/A,$793.68,$634.95,
CARDIOVASCULAR,33261,OTHER,22,"$19,927.11","$15,941.69",
CARDIOVASCULAR,33265,TOTAL,166,"$152,392.22","$120,377.65",
CARDIOVASCULAR,33265,80S,64,"$12,667.79","$9,768.93",
CARDIOVASCULAR,33265,OTHER,102,"$139,724.43","$110,608.72",
CARDIOVASCULAR,33266,TOTAL,271,"$392,700.67","$311,466.96",
CARDIOVASCULAR,33266,80S,73,"$19,923.07","$15,938.42",
CARDIOVASCULAR,33266,OTHER,198,"$372,777.60","$295,528.54",
CARDIOVASCULAR,33282,TOTAL,"7,542","$2,681,768.31","$2,121,652.26",
CARDIOVASCULAR,33282,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33282,OTHER,"7,542","$2,681,768.31","$2,121,652.26",
CARDIOVASCULAR,33284,TOTAL,"3,235","$616,639.83","$484,376.18",
CARDIOVASCULAR,33284,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33284,SG,N/A,$354.64,$283.71,
CARDIOVASCULAR,33284,OTHER,"3,235","$616,285.19","$484,092.47",
CARDIOVASCULAR,33300,TOTAL,268,"$507,979.19","$404,820.61",
CARDIOVASCULAR,33300,80S,64,"$22,920.63","$18,336.51",
CARDIOVASCULAR,33300,OTHER,204,"$485,058.56","$386,484.10",
CARDIOVASCULAR,33305,TOTAL,319,"$914,475.48","$728,546.91",
CARDIOVASCULAR,33305,80S,110,"$69,131.40","$55,305.10",
CARDIOVASCULAR,33305,OTHER,209,"$845,344.08","$673,241.81",
CARDIOVASCULAR,33310,TOTAL,86,"$57,293.65","$45,705.41",
CARDIOVASCULAR,33310,80S,25,"$3,508.90","$2,807.15",
CARDIOVASCULAR,33310,OTHER,61,"$53,784.75","$42,898.26",
CARDIOVASCULAR,33315,TOTAL,399,"$295,508.56","$235,615.54",
CARDIOVASCULAR,33315,80S,142,"$22,908.75","$18,250.48",
CARDIOVASCULAR,33315,OTHER,257,"$272,599.81","$217,365.06",
CARDIOVASCULAR,33320,TOTAL,162,"$104,204.31","$82,718.44",
CARDIOVASCULAR,33320,80S,36,"$3,933.39","$3,146.69",
CARDIOVASCULAR,33320,OTHER,126,"$100,270.92","$79,571.75",
CARDIOVASCULAR,33321,TOTAL,N/A,"$1,987.50","$1,589.99",
CARDIOVASCULAR,33321,80S,N/A,$165.68,$132.54,
CARDIOVASCULAR,33321,OTHER,N/A,"$1,821.82","$1,457.45",
CARDIOVASCULAR,33322,TOTAL,253,"$153,699.74","$121,098.25",
CARDIOVASCULAR,33322,80S,86,"$10,922.96","$8,666.39",
CARDIOVASCULAR,33322,OTHER,167,"$142,776.78","$112,431.86",
CARDIOVASCULAR,33330,TOTAL,26,"$32,102.40","$25,681.96",
CARDIOVASCULAR,33330,80S,N/A,"$1,320.75","$1,056.59",
CARDIOVASCULAR,33330,OTHER,26,"$30,781.65","$24,625.37",
CARDIOVASCULAR,33332,TOTAL,N/A,"$1,017.96",$814.37,
CARDIOVASCULAR,33332,80S,N/A,$351.20,$280.96,
CARDIOVASCULAR,33332,OTHER,N/A,$666.76,$533.41,
CARDIOVASCULAR,33335,TOTAL,127,"$101,137.37","$79,390.47",
CARDIOVASCULAR,33335,80S,49,"$8,580.10","$6,893.55",
CARDIOVASCULAR,33335,OTHER,78,"$92,557.27","$72,496.92",
CARDIOVASCULAR,33400,TOTAL,475,"$530,400.11","$419,148.25",
CARDIOVASCULAR,33400,80S,179,"$46,081.00","$36,339.19",
CARDIOVASCULAR,33400,OTHER,296,"$484,319.11","$382,809.06",
CARDIOVASCULAR,33401,TOTAL,N/A,"$3,133.17","$2,506.54",
CARDIOVASCULAR,33401,80S,N/A,$189.63,$151.70,
CARDIOVASCULAR,33401,OTHER,N/A,"$2,943.54","$2,354.84",
CARDIOVASCULAR,33403,TOTAL,12,"$12,022.63","$9,618.10",
CARDIOVASCULAR,33403,80S,N/A,"$1,581.44","$1,265.15",
CARDIOVASCULAR,33403,OTHER,12,"$10,441.19","$8,352.95",
CARDIOVASCULAR,33404,TOTAL,117,"$136,266.59","$108,861.14",
CARDIOVASCULAR,33404,80S,36,"$8,533.32","$6,826.65",
CARDIOVASCULAR,33404,OTHER,81,"$127,733.27","$102,034.49",
CARDIOVASCULAR,33405,TOTAL,"51,646","$75,858,763.75","$60,330,467.98",
CARDIOVASCULAR,33405,80S,"20,337","$6,585,168.59","$5,244,443.32",
CARDIOVASCULAR,33405,OTHER,"31,309","$69,273,595.16","$55,086,024.66",
CARDIOVASCULAR,33406,TOTAL,839,"$1,558,646.83","$1,242,952.71",
CARDIOVASCULAR,33406,80S,344,"$143,407.93","$114,167.98",
CARDIOVASCULAR,33406,OTHER,495,"$1,415,238.90","$1,128,784.73",
CARDIOVASCULAR,33410,TOTAL,"1,976","$3,334,621.52","$2,638,807.23",
CARDIOVASCULAR,33410,80S,744,"$262,968.90","$209,392.38",
CARDIOVASCULAR,33410,OTHER,"1,232","$3,071,652.62","$2,429,414.85",
CARDIOVASCULAR,33411,TOTAL,"1,377","$3,172,208.72","$2,526,246.40",
CARDIOVASCULAR,33411,80S,551,"$286,523.36","$228,006.80",
CARDIOVASCULAR,33411,OTHER,826,"$2,885,685.36","$2,298,239.60",
CARDIOVASCULAR,33412,TOTAL,55,"$87,322.22","$67,909.65",
CARDIOVASCULAR,33412,80S,20,"$6,398.99","$5,119.19",
CARDIOVASCULAR,33412,OTHER,35,"$80,923.23","$62,790.46",
CARDIOVASCULAR,33413,TOTAL,N/A,"$34,880.45","$27,904.37",
CARDIOVASCULAR,33413,80S,N/A,"$2,240.80","$1,792.64",
CARDIOVASCULAR,33413,OTHER,N/A,"$32,639.65","$26,111.73",
CARDIOVASCULAR,33414,TOTAL,83,"$75,131.98","$58,428.05",
CARDIOVASCULAR,33414,80S,32,"$6,869.16","$5,319.15",
CARDIOVASCULAR,33414,OTHER,51,"$68,262.82","$53,108.90",
CARDIOVASCULAR,33415,TOTAL,218,"$197,439.47","$156,226.28",
CARDIOVASCULAR,33415,80S,51,"$9,400.39","$7,461.19",
CARDIOVASCULAR,33415,OTHER,167,"$188,039.08","$148,765.09",
CARDIOVASCULAR,33416,TOTAL,"1,159","$1,062,923.80","$845,486.74",
CARDIOVASCULAR,33416,80S,399,"$75,050.56","$59,722.46",
CARDIOVASCULAR,33416,OTHER,760,"$987,873.24","$785,764.28",
CARDIOVASCULAR,33417,TOTAL,250,"$181,579.96","$144,454.64",
CARDIOVASCULAR,33417,80S,70,"$9,655.89","$7,724.70",
CARDIOVASCULAR,33417,OTHER,180,"$171,924.07","$136,729.94",
CARDIOVASCULAR,33420,TOTAL,113,"$14,693.41","$11,648.97",
CARDIOVASCULAR,33420,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33420,OTHER,113,"$14,693.41","$11,648.97",
CARDIOVASCULAR,33422,TOTAL,122,"$82,078.72","$65,663.01",
CARDIOVASCULAR,33422,80S,44,"$6,479.47","$5,183.60",
CARDIOVASCULAR,33422,OTHER,78,"$75,599.25","$60,479.41",
CARDIOVASCULAR,33425,TOTAL,928,"$1,721,036.20","$1,371,719.10",
CARDIOVASCULAR,33425,80S,355,"$145,811.52","$116,191.31",
CARDIOVASCULAR,33425,OTHER,573,"$1,575,224.68","$1,255,527.79",
CARDIOVASCULAR,33426,TOTAL,"10,415","$14,966,402.14","$11,899,804.76",
CARDIOVASCULAR,33426,80S,"4,162","$1,332,841.72","$1,060,720.94",
CARDIOVASCULAR,33426,OTHER,"6,253","$13,633,560.42","$10,839,083.82",
CARDIOVASCULAR,33427,TOTAL,"4,919","$8,324,366.84","$6,619,537.63",
CARDIOVASCULAR,33427,80S,"1,922","$715,778.03","$568,436.06",
CARDIOVASCULAR,33427,OTHER,"2,997","$7,608,588.81","$6,051,101.57",
CARDIOVASCULAR,33430,TOTAL,"13,239","$25,375,138.79","$20,201,446.99",
CARDIOVASCULAR,33430,80S,"5,145","$2,164,879.03","$1,724,550.69",
CARDIOVASCULAR,33430,OTHER,"8,094","$23,210,259.76","$18,476,896.30",
CARDIOVASCULAR,33460,TOTAL,69,"$95,558.22","$76,446.59",
CARDIOVASCULAR,33460,80S,26,"$8,110.69","$6,488.53",
CARDIOVASCULAR,33460,OTHER,43,"$87,447.53","$69,958.06",
CARDIOVASCULAR,33463,TOTAL,965,"$2,035,284.70","$1,625,330.39",
CARDIOVASCULAR,33463,80S,359,"$162,484.92","$129,745.69",
CARDIOVASCULAR,33463,OTHER,606,"$1,872,799.78","$1,495,584.70",
CARDIOVASCULAR,33464,TOTAL,"5,371","$6,930,352.84","$5,521,620.56",
CARDIOVASCULAR,33464,80S,"2,086","$587,932.84","$468,871.95",
CARDIOVASCULAR,33464,OTHER,"3,285","$6,342,420.00","$5,052,748.61",
CARDIOVASCULAR,33465,TOTAL,568,"$973,617.46","$773,504.58",
CARDIOVASCULAR,33465,80S,189,"$67,853.91","$54,283.08",
CARDIOVASCULAR,33465,OTHER,379,"$905,763.55","$719,221.50",
CARDIOVASCULAR,33468,TOTAL,13,"$14,060.17","$11,248.13",
CARDIOVASCULAR,33468,OTHER,13,"$14,060.17","$11,248.13",
CARDIOVASCULAR,33470,TOTAL,N/A,$40.00,$32.00,
CARDIOVASCULAR,33470,OTHER,N/A,$40.00,$32.00,
CARDIOVASCULAR,33472,TOTAL,N/A,$895.11,$716.08,
CARDIOVASCULAR,33472,80S,N/A,$224.63,$179.70,
CARDIOVASCULAR,33472,OTHER,N/A,$670.48,$536.38,
CARDIOVASCULAR,33474,TOTAL,N/A,"$6,867.39","$5,493.92",
CARDIOVASCULAR,33474,80S,N/A,$208.60,$166.88,
CARDIOVASCULAR,33474,OTHER,N/A,"$6,658.79","$5,327.04",
CARDIOVASCULAR,33475,TOTAL,115,"$181,409.84","$143,133.53",
CARDIOVASCULAR,33475,80S,28,"$8,838.89","$7,071.10",
CARDIOVASCULAR,33475,OTHER,87,"$172,570.95","$136,062.43",
CARDIOVASCULAR,33476,TOTAL,N/A,"$7,445.45","$5,956.37",
CARDIOVASCULAR,33476,80S,N/A,$0.00,$0.00,
CARDIOVASCULAR,33476,OTHER,N/A,"$7,445.45","$5,956.37",
CARDIOVASCULAR,33478,TOTAL,24,"$20,580.70","$16,143.95",
CARDIOVASCULAR,33478,80S,N/A,$391.98,$269.36,
CARDIOVASCULAR,33478,OTHER,24,"$20,188.72","$15,874.59",
CARDIOVASCULAR,33496,TOTAL,74,"$73,451.72","$58,761.39",
CARDIOVASCULAR,33496,80S,25,"$5,856.50","$4,685.20",
CARDIOVASCULAR,33496,OTHER,49,"$67,595.22","$54,076.19",
CARDIOVASCULAR,33500,TOTAL,65,"$39,108.71","$30,625.11",
CARDIOVASCULAR,33500,80S,25,"$3,320.59","$2,656.48",
CARDIOVASCULAR,33500,OTHER,40,"$35,788.12","$27,968.63",
CARDIOVASCULAR,33501,TOTAL,23,"$23,874.38","$19,014.95",
CARDIOVASCULAR,33501,80S,N/A,"$1,021.84",$817.49,
CARDIOVASCULAR,33501,OTHER,23,"$22,852.54","$18,197.46",
CARDIOVASCULAR,33502,TOTAL,100,"$47,735.77","$38,188.70",
CARDIOVASCULAR,33502,80S,40,"$4,255.26","$3,404.30",
CARDIOVASCULAR,33502,OTHER,60,"$43,480.51","$34,784.40",
CARDIOVASCULAR,33503,TOTAL,N/A,"$8,501.69","$6,801.35",
CARDIOVASCULAR,33503,80S,N/A,$806.62,$645.29,
CARDIOVASCULAR,33503,OTHER,N/A,"$7,695.07","$6,156.06",
CARDIOVASCULAR,33504,TOTAL,28,"$20,890.84","$16,712.67",
CARDIOVASCULAR,33504,80S,11,"$1,724.71","$1,379.77",
CARDIOVASCULAR,33504,OTHER,17,"$19,166.13","$15,332.90",
CARDIOVASCULAR,33505,TOTAL,N/A,"$10,105.30","$8,084.24",
CARDIOVASCULAR,33505,80S,N/A,$641.85,$513.48,
CARDIOVASCULAR,33505,OTHER,N/A,"$9,463.45","$7,570.76",
CARDIOVASCULAR,33506,TOTAL,N/A,"$5,853.87","$4,683.09",
CARDIOVASCULAR,33506,80S,N/A,$996.15,$796.92,
CARDIOVASCULAR,33506,OTHER,N/A,"$4,857.72","$3,886.17",
CARDIOVASCULAR,33507,TOTAL,53,"$40,386.28","$32,309.00",
CARDIOVASCULAR,33507,80S,23,"$4,005.76","$3,204.61",
CARDIOVASCULAR,33507,OTHER,30,"$36,380.52","$29,104.39",
CARDIOVASCULAR,33508,TOTAL,"76,978","$959,114.62","$762,323.61",
CARDIOVASCULAR,33508,80S,"23,592","$57,009.31","$45,471.35",
CARDIOVASCULAR,33508,OTHER,"53,386","$902,105.31","$716,852.26",
CARDIOVASCULAR,33510,TOTAL,"9,879","$7,754,100.18","$6,172,362.21",
CARDIOVASCULAR,33510,80S,"3,948","$693,944.84","$553,493.30",
CARDIOVASCULAR,33510,OTHER,"5,931","$7,060,155.34","$5,618,868.91",
CARDIOVASCULAR,33511,TOTAL,"6,686","$7,038,163.56","$5,584,355.37",
CARDIOVASCULAR,33511,80S,"2,712","$639,613.53","$508,821.29",
CARDIOVASCULAR,33511,OTHER,"3,974","$6,398,550.03","$5,075,534.08",
CARDIOVASCULAR,33512,TOTAL,"4,201","$6,494,142.91","$5,176,441.74",
CARDIOVASCULAR,33512,80S,"1,709","$591,197.28","$472,549.80",
CARDIOVASCULAR,33512,OTHER,"2,492","$5,902,945.63","$4,703,891.94",
CARDIOVASCULAR,33513,TOTAL,"1,484","$2,373,983.16","$1,891,788.68",
CARDIOVASCULAR,33513,80S,618,"$225,942.81","$180,394.09",
CARDIOVASCULAR,33513,OTHER,866,"$2,148,040.35","$1,711,394.59",
CARDIOVASCULAR,33514,TOTAL,388,"$673,396.02","$534,051.06",
CARDIOVASCULAR,33514,80S,153,"$58,955.45","$46,648.56",
CARDIOVASCULAR,33514,OTHER,235,"$614,440.57","$487,402.50",
CARDIOVASCULAR,33516,TOTAL,84,"$147,014.59","$117,611.64",
CARDIOVASCULAR,33516,80S,37,"$15,293.82","$12,235.05",
CARDIOVASCULAR,33516,OTHER,47,"$131,720.77","$105,376.59",
CARDIOVASCULAR,33517,TOTAL,"24,576","$3,200,482.99","$2,541,573.72",
CARDIOVASCULAR,33517,80S,"9,693","$275,341.43","$219,255.65",
CARDIOVASCULAR,33517,OTHER,"14,883","$2,925,141.56","$2,322,318.07",
CARDIOVASCULAR,33518,TOTAL,"47,668","$13,537,819.73","$10,746,708.23",
CARDIOVASCULAR,33518,80S,"18,974","$1,182,396.97","$941,185.38",
CARDIOVASCULAR,33518,OTHER,"28,694","$12,355,422.76","$9,805,522.85",
CARDIOVASCULAR,33519,TOTAL,"30,872","$11,528,584.18","$9,150,152.63",
CARDIOVASCULAR,33519,80S,"12,382","$1,016,957.54","$809,421.09",
