CPT only copyright 2016 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2016 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17951,,,,,,,,
CARDIOVASCULAR,33213,OTHER,"2,466","$962,055.02","$744,209.74",,,
CARDIOVASCULAR,33213,TOTAL,"2,466","$962,055.02","$744,209.74",,,
CARDIOVASCULAR,33214,80S,N/A,$105.87,$83.00,,,
CARDIOVASCULAR,33214,OTHER,429,"$206,848.48","$161,454.42",,,
CARDIOVASCULAR,33214,TOTAL,431,"$206,954.35","$161,537.42",,,
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33215,SG,N/A,$464.36,$364.06,,,
CARDIOVASCULAR,33215,OTHER,"3,528","$931,800.05","$725,316.96",,,
CARDIOVASCULAR,33215,TOTAL,"3,529","$932,264.41","$725,681.02",,,
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33216,OTHER,"3,801","$1,276,218.07","$991,170.37",,,
CARDIOVASCULAR,33216,TOTAL,"3,801","$1,276,218.07","$991,170.37",,,
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33217,OTHER,735,"$236,129.05","$183,668.21",,,
CARDIOVASCULAR,33217,TOTAL,735,"$236,129.05","$183,668.21",,,
CARDIOVASCULAR,33218,OTHER,610,"$208,379.43","$161,948.89",,,
CARDIOVASCULAR,33218,TOTAL,610,"$208,379.43","$161,948.89",,,
CARDIOVASCULAR,33220,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33220,OTHER,91,"$31,353.44","$24,427.17",,,
CARDIOVASCULAR,33220,TOTAL,91,"$31,353.44","$24,427.17",,,
CARDIOVASCULAR,33221,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33221,OTHER,361,"$198,510.18","$154,815.32",,,
CARDIOVASCULAR,33221,TOTAL,361,"$198,510.18","$154,815.32",,,
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33222,OTHER,"2,057","$541,506.43","$420,287.90",,,
CARDIOVASCULAR,33222,TOTAL,"2,057","$541,506.43","$420,287.90",,,
CARDIOVASCULAR,33223,80S,N/A,$344.84,$256.40,,,
CARDIOVASCULAR,33223,OTHER,"1,575","$646,622.85","$503,214.70",,,
CARDIOVASCULAR,33223,TOTAL,"1,581","$646,967.69","$503,471.10",,,
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33224,OTHER,"1,550","$696,356.17","$539,547.89",,,
CARDIOVASCULAR,33224,TOTAL,"1,550","$696,356.17","$539,547.89",,,
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33225,SG,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33225,OTHER,"34,108","$16,376,948.78","$12,791,786.08",,,
CARDIOVASCULAR,33225,TOTAL,"34,108","$16,376,948.78","$12,791,786.08",,,
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33226,OTHER,408,"$198,420.18","$154,461.22",,,
CARDIOVASCULAR,33226,TOTAL,408,"$198,420.18","$154,461.22",,,
CARDIOVASCULAR,33227,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33227,OTHER,"6,538","$2,928,485.44","$2,266,018.15",,,
CARDIOVASCULAR,33227,TOTAL,"6,538","$2,928,485.44","$2,266,018.15",,,
CARDIOVASCULAR,33228,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33228,SG,N/A,"$7,378.66","$5,784.87",,,
CARDIOVASCULAR,33228,OTHER,"39,135","$19,601,269.36","$15,163,027.13",,,
CARDIOVASCULAR,33228,TOTAL,"39,136","$19,608,648.02","$15,168,812.00",,,
CARDIOVASCULAR,33229,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33229,OTHER,"4,538","$2,784,399.65","$2,163,828.95",,,
CARDIOVASCULAR,33229,TOTAL,"4,538","$2,784,399.65","$2,163,828.95",,,
CARDIOVASCULAR,33230,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33230,OTHER,244,"$179,709.46","$140,610.25",,,
CARDIOVASCULAR,33230,TOTAL,244,"$179,709.46","$140,610.25",,,
CARDIOVASCULAR,33231,OTHER,199,"$114,188.29","$88,854.46",,,
CARDIOVASCULAR,33231,TOTAL,199,"$114,188.29","$88,854.46",,,
CARDIOVASCULAR,33233,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33233,OTHER,"9,330","$1,707,655.61","$1,332,772.88",,,
CARDIOVASCULAR,33233,TOTAL,"9,330","$1,707,655.61","$1,332,772.88",,,
CARDIOVASCULAR,33234,80S,N/A,$49.51,$38.82,,,
CARDIOVASCULAR,33234,OTHER,"2,840","$1,122,360.39","$873,784.23",,,
CARDIOVASCULAR,33234,TOTAL,"2,841","$1,122,409.90","$873,823.05",,,
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33235,OTHER,"3,720","$2,148,516.53","$1,671,981.11",,,
CARDIOVASCULAR,33235,TOTAL,"3,720","$2,148,516.53","$1,671,981.11",,,
CARDIOVASCULAR,33236,80S,N/A,$247.45,$194.01,,,
CARDIOVASCULAR,33236,OTHER,20,"$13,197.09","$10,063.01",,,
CARDIOVASCULAR,33236,TOTAL,22,"$13,444.54","$10,257.02",,,
CARDIOVASCULAR,33237,80S,N/A,$454.83,$356.59,,,
CARDIOVASCULAR,33237,OTHER,52,"$35,585.12","$27,898.70",,,
CARDIOVASCULAR,33237,TOTAL,56,"$36,039.95","$28,255.29",,,
CARDIOVASCULAR,33238,80S,N/A,$287.92,$225.74,,,
CARDIOVASCULAR,33238,OTHER,90,"$61,585.37","$48,259.93",,,
CARDIOVASCULAR,33238,TOTAL,93,"$61,873.29","$48,485.67",,,
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33240,OTHER,599,"$229,536.86","$179,154.44",,,
CARDIOVASCULAR,33240,TOTAL,599,"$229,536.86","$179,154.44",,,
CARDIOVASCULAR,33241,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33241,OTHER,"7,420","$1,002,514.28","$778,146.33",,,
CARDIOVASCULAR,33241,TOTAL,"7,420","$1,002,514.28","$778,146.33",,,
CARDIOVASCULAR,33243,80S,109,"$14,235.81","$11,157.62",,,
CARDIOVASCULAR,33243,OTHER,311,"$281,834.06","$220,006.45",,,
CARDIOVASCULAR,33243,TOTAL,420,"$296,069.87","$231,164.07",,,
CARDIOVASCULAR,33244,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33244,OTHER,"4,821","$3,576,827.37","$2,779,662.65",,,
CARDIOVASCULAR,33244,TOTAL,"4,821","$3,576,827.37","$2,779,662.65",,,
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33249,SG,N/A,"$76,998.27","$60,366.63",,,
CARDIOVASCULAR,33249,OTHER,"49,728","$57,734,052.62","$44,995,711.65",,,
CARDIOVASCULAR,33249,TOTAL,"49,731","$57,811,050.89","$45,056,078.28",,,
CARDIOVASCULAR,33250,80S,N/A,$414.87,$325.25,,,
CARDIOVASCULAR,33250,OTHER,N/A,"$13,749.89","$10,759.52",,,
CARDIOVASCULAR,33250,TOTAL,13,"$14,164.76","$11,084.77",,,
CARDIOVASCULAR,33251,80S,14,"$2,002.35","$1,568.10",,,
CARDIOVASCULAR,33251,OTHER,25,"$25,728.33","$20,001.32",,,
CARDIOVASCULAR,33251,TOTAL,39,"$27,730.68","$21,569.42",,,
CARDIOVASCULAR,33254,80S,26,"$5,357.69","$4,200.48",,,
CARDIOVASCULAR,33254,OTHER,50,"$69,117.89","$54,122.70",,,
CARDIOVASCULAR,33254,TOTAL,76,"$74,475.58","$58,323.18",,,
CARDIOVASCULAR,33255,80S,23,"$5,784.78","$4,535.26",,,
CARDIOVASCULAR,33255,OTHER,53,"$86,491.30","$67,516.95",,,
CARDIOVASCULAR,33255,TOTAL,76,"$92,276.08","$72,052.21",,,
CARDIOVASCULAR,33256,80S,26,"$7,596.78","$5,809.87",,,
CARDIOVASCULAR,33256,OTHER,66,"$129,600.69","$100,211.03",,,
CARDIOVASCULAR,33256,TOTAL,92,"$137,197.47","$106,020.90",,,
CARDIOVASCULAR,33257,80S,"2,151","$184,446.19","$144,175.39",,,
CARDIOVASCULAR,33257,OTHER,"3,535","$2,107,902.90","$1,641,176.00",,,
CARDIOVASCULAR,33257,TOTAL,"5,686","$2,292,349.09","$1,785,351.39",,,
CARDIOVASCULAR,33258,80S,45,"$4,107.26","$3,238.76",,,
CARDIOVASCULAR,33258,OTHER,67,"$43,930.50","$33,961.56",,,
CARDIOVASCULAR,33258,TOTAL,112,"$48,037.76","$37,200.32",,,
CARDIOVASCULAR,33259,80S,"2,486","$311,410.30","$243,449.54",,,
CARDIOVASCULAR,33259,OTHER,"4,290","$3,733,627.90","$2,904,863.03",,,
CARDIOVASCULAR,33259,TOTAL,"6,776","$4,045,038.20","$3,148,312.57",,,
CARDIOVASCULAR,33261,80S,N/A,"$1,212.91",$950.93,,,
CARDIOVASCULAR,33261,OTHER,31,"$29,587.31","$22,754.65",,,
CARDIOVASCULAR,33261,TOTAL,39,"$30,800.22","$23,705.58",,,
CARDIOVASCULAR,33262,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33262,OTHER,"4,063","$2,390,051.85","$1,842,569.73",,,
CARDIOVASCULAR,33262,TOTAL,"4,063","$2,390,051.85","$1,842,569.73",,,
CARDIOVASCULAR,33263,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33263,SG,N/A,"$18,853.06","$14,780.80",,,
CARDIOVASCULAR,33263,OTHER,"11,924","$8,498,384.53","$6,599,706.72",,,
CARDIOVASCULAR,33263,TOTAL,"11,925","$8,517,237.59","$6,614,487.52",,,
CARDIOVASCULAR,33264,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33264,SG,N/A,"$25,666.09","$20,122.21",,,
CARDIOVASCULAR,33264,OTHER,"18,833","$15,010,294.26","$11,662,870.50",,,
CARDIOVASCULAR,33264,TOTAL,"18,834","$15,035,960.35","$11,682,992.71",,,
CARDIOVASCULAR,33265,80S,99,"$18,447.35","$14,499.95",,,
CARDIOVASCULAR,33265,OTHER,256,"$350,325.12","$271,118.08",,,
CARDIOVASCULAR,33265,TOTAL,355,"$368,772.47","$285,618.03",,,
CARDIOVASCULAR,33266,80S,266,"$72,906.90","$56,260.05",,,
CARDIOVASCULAR,33266,OTHER,510,"$949,726.09","$737,634.70",,,
CARDIOVASCULAR,33266,TOTAL,776,"$1,022,632.99","$793,894.75",,,
CARDIOVASCULAR,33270,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33270,OTHER,"1,581","$1,007,868.64","$782,402.52",,,
CARDIOVASCULAR,33270,TOTAL,"1,581","$1,007,868.64","$782,402.52",,,
CARDIOVASCULAR,33271,OTHER,62,"$28,303.91","$22,183.35",,,
CARDIOVASCULAR,33271,TOTAL,62,"$28,303.91","$22,183.35",,,
CARDIOVASCULAR,33272,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33272,OTHER,129,"$34,336.57","$26,472.18",,,
CARDIOVASCULAR,33272,TOTAL,129,"$34,336.57","$26,472.18",,,
CARDIOVASCULAR,33273,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33273,OTHER,35,"$14,480.46","$11,340.24",,,
CARDIOVASCULAR,33273,TOTAL,35,"$14,480.46","$11,340.24",,,
CARDIOVASCULAR,33282,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33282,SG,N/A,"$47,979.54","$37,615.94",,,
CARDIOVASCULAR,33282,OTHER,"37,326","$12,826,253.86","$9,923,271.09",,,
CARDIOVASCULAR,33282,TOTAL,"37,334","$12,874,233.40","$9,960,887.03",,,
CARDIOVASCULAR,33284,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33284,SG,N/A,"$2,588.31","$2,029.25",,,
CARDIOVASCULAR,33284,OTHER,"9,549","$1,700,138.33","$1,306,515.43",,,
CARDIOVASCULAR,33284,TOTAL,"9,554","$1,702,726.64","$1,308,544.68",,,
CARDIOVASCULAR,33300,80S,86,"$29,842.46","$23,384.11",,,
CARDIOVASCULAR,33300,OTHER,226,"$536,635.04","$419,359.22",,,
CARDIOVASCULAR,33300,TOTAL,312,"$566,477.50","$442,743.33",,,
CARDIOVASCULAR,33305,80S,88,"$54,925.22","$42,108.30",,,
CARDIOVASCULAR,33305,OTHER,167,"$674,316.68","$522,759.58",,,
CARDIOVASCULAR,33305,TOTAL,255,"$729,241.90","$564,867.88",,,
CARDIOVASCULAR,33310,80S,24,"$3,848.05","$3,013.97",,,
CARDIOVASCULAR,33310,OTHER,90,"$75,858.16","$59,460.58",,,
CARDIOVASCULAR,33310,TOTAL,114,"$79,706.21","$62,474.55",,,
CARDIOVASCULAR,33315,80S,168,"$37,327.46","$29,018.00",,,
CARDIOVASCULAR,33315,OTHER,309,"$455,802.49","$355,507.98",,,
CARDIOVASCULAR,33315,TOTAL,477,"$493,129.95","$384,525.98",,,
CARDIOVASCULAR,33320,80S,36,"$4,324.67","$3,420.99",,,
CARDIOVASCULAR,33320,OTHER,109,"$90,781.16","$70,981.81",,,
CARDIOVASCULAR,33320,TOTAL,145,"$95,105.83","$74,402.80",,,
CARDIOVASCULAR,33321,80S,N/A,$187.78,$147.21,,,
CARDIOVASCULAR,33321,OTHER,N/A,"$1,262.43",$985.11,,,
CARDIOVASCULAR,33321,TOTAL,N/A,"$1,450.21","$1,132.32",,,
CARDIOVASCULAR,33322,80S,77,"$9,975.65","$7,710.70",,,
CARDIOVASCULAR,33322,OTHER,125,"$113,719.10","$88,139.12",,,
CARDIOVASCULAR,33322,TOTAL,202,"$123,694.75","$95,849.82",,,
CARDIOVASCULAR,33330,80S,N/A,$917.57,$719.37,,,
CARDIOVASCULAR,33330,OTHER,16,"$17,410.86","$13,611.31",,,
CARDIOVASCULAR,33330,TOTAL,23,"$18,328.43","$14,330.68",,,
CARDIOVASCULAR,33335,80S,32,"$6,544.22","$5,125.40",,,
CARDIOVASCULAR,33335,OTHER,77,"$92,786.55","$72,679.48",,,
CARDIOVASCULAR,33335,TOTAL,109,"$99,330.77","$77,804.88",,,
CARDIOVASCULAR,33361,80S,24,"$4,361.35","$3,401.20",,,
CARDIOVASCULAR,33361,OTHER,"44,272","$39,434,266.25","$30,867,179.27",,,
CARDIOVASCULAR,33361,TOTAL,"44,296","$39,438,627.60","$30,870,580.47",,,
CARDIOVASCULAR,33362,80S,N/A,$249.37,$195.51,,,
CARDIOVASCULAR,33362,OTHER,"6,381","$6,019,051.76","$4,710,957.93",,,
CARDIOVASCULAR,33362,TOTAL,"6,382","$6,019,301.13","$4,711,153.44",,,
CARDIOVASCULAR,33363,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33363,OTHER,"1,378","$1,392,850.16","$1,089,400.11",,,
CARDIOVASCULAR,33363,TOTAL,"1,378","$1,392,850.16","$1,089,400.11",,,
CARDIOVASCULAR,33364,OTHER,70,"$70,999.77","$55,663.63",,,
CARDIOVASCULAR,33364,TOTAL,70,"$70,999.77","$55,663.63",,,
CARDIOVASCULAR,33365,80S,N/A,$224.57,$176.07,,,
CARDIOVASCULAR,33365,OTHER,865,"$983,772.61","$768,619.38",,,
CARDIOVASCULAR,33365,TOTAL,866,"$983,997.18","$768,795.45",,,
CARDIOVASCULAR,33366,80S,N/A,$638.06,$500.24,,,
CARDIOVASCULAR,33366,OTHER,"1,269","$1,569,109.95","$1,233,454.79",,,
CARDIOVASCULAR,33366,TOTAL,"1,271","$1,569,748.01","$1,233,955.03",,,
CARDIOVASCULAR,33367,80S,N/A,$206.29,$161.73,,,
CARDIOVASCULAR,33367,OTHER,150,"$96,177.83","$75,319.95",,,
CARDIOVASCULAR,33367,TOTAL,152,"$96,384.12","$75,481.68",,,
CARDIOVASCULAR,33368,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33368,OTHER,31,"$24,027.29","$18,824.26",,,
CARDIOVASCULAR,33368,TOTAL,31,"$24,027.29","$18,824.26",,,
CARDIOVASCULAR,33369,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33369,OTHER,N/A,"$3,404.11","$2,668.83",,,
CARDIOVASCULAR,33369,TOTAL,N/A,"$3,404.11","$2,668.83",,,
CARDIOVASCULAR,33400,80S,179,"$41,712.39","$32,564.43",,,
CARDIOVASCULAR,33400,OTHER,301,"$481,108.76","$374,952.01",,,
CARDIOVASCULAR,33400,TOTAL,480,"$522,821.15","$407,516.44",,,
CARDIOVASCULAR,33401,80S,N/A,$113.34,$88.86,,,
CARDIOVASCULAR,33401,OTHER,N/A,"$5,810.24","$4,555.23",,,
CARDIOVASCULAR,33401,TOTAL,N/A,"$5,923.58","$4,644.09",,,
CARDIOVASCULAR,33403,80S,N/A,"$1,055.55",$827.57,,,
CARDIOVASCULAR,33403,OTHER,N/A,"$12,079.69","$9,470.48",,,
CARDIOVASCULAR,33403,TOTAL,17,"$13,135.24","$10,298.05",,,
CARDIOVASCULAR,33404,80S,N/A,"$1,319.50","$1,088.11",,,
CARDIOVASCULAR,33404,OTHER,N/A,"$8,086.68","$6,615.84",,,
CARDIOVASCULAR,33404,TOTAL,11,"$9,406.18","$7,703.95",,,
CARDIOVASCULAR,33405,80S,"15,448","$4,718,479.89","$3,675,455.34",,,
CARDIOVASCULAR,33405,OTHER,"25,300","$53,596,721.11","$41,700,013.80",,,
CARDIOVASCULAR,33405,TOTAL,"40,748","$58,315,201.00","$45,375,469.14",,,
CARDIOVASCULAR,33406,80S,132,"$52,020.77","$40,272.50",,,
CARDIOVASCULAR,33406,OTHER,210,"$582,258.80","$452,257.41",,,
CARDIOVASCULAR,33406,TOTAL,342,"$634,279.57","$492,529.91",,,
CARDIOVASCULAR,33410,80S,533,"$181,931.45","$141,681.52",,,
CARDIOVASCULAR,33410,OTHER,889,"$2,148,159.89","$1,671,375.78",,,
CARDIOVASCULAR,33410,TOTAL,"1,422","$2,330,091.34","$1,813,057.30",,,
CARDIOVASCULAR,33411,80S,511,"$258,245.94","$203,375.26",,,
CARDIOVASCULAR,33411,OTHER,868,"$2,990,541.40","$2,339,841.99",,,
CARDIOVASCULAR,33411,TOTAL,"1,379","$3,248,787.34","$2,543,217.25",,,
CARDIOVASCULAR,33412,80S,21,"$9,498.93","$7,447.10",,,
CARDIOVASCULAR,33412,OTHER,30,"$94,046.14","$68,776.40",,,
CARDIOVASCULAR,33412,TOTAL,51,"$103,545.07","$76,223.50",,,
CARDIOVASCULAR,33413,80S,N/A,$555.63,$435.61,,,
CARDIOVASCULAR,33413,OTHER,N/A,"$10,560.53","$8,279.45",,,
CARDIOVASCULAR,33413,TOTAL,N/A,"$11,116.16","$8,715.06",,,
CARDIOVASCULAR,33414,80S,50,"$9,460.02","$7,475.52",,,
CARDIOVASCULAR,33414,OTHER,67,"$86,983.55","$68,154.96",,,
CARDIOVASCULAR,33414,TOTAL,117,"$96,443.57","$75,630.48",,,
CARDIOVASCULAR,33415,80S,76,"$13,584.06","$10,498.76",,,
CARDIOVASCULAR,33415,OTHER,172,"$225,153.85","$176,400.79",,,
CARDIOVASCULAR,33415,TOTAL,248,"$238,737.91","$186,899.55",,,
CARDIOVASCULAR,33416,80S,351,"$69,369.53","$53,934.20",,,
CARDIOVASCULAR,33416,OTHER,805,"$1,107,588.62","$860,598.89",,,
CARDIOVASCULAR,33416,TOTAL,"1,156","$1,176,958.15","$914,533.09",,,
CARDIOVASCULAR,33417,80S,60,"$8,345.03","$6,539.70",,,
CARDIOVASCULAR,33417,OTHER,145,"$139,560.32","$109,358.70",,,
CARDIOVASCULAR,33417,TOTAL,205,"$147,905.35","$115,898.40",,,
CARDIOVASCULAR,33418,80S,259,"$74,327.17","$58,327.50",,,
CARDIOVASCULAR,33418,OTHER,"3,830","$5,594,867.44","$4,381,164.36",,,
CARDIOVASCULAR,33418,TOTAL,"4,089","$5,669,194.61","$4,439,491.86",,,
CARDIOVASCULAR,33419,80S,79,"$5,370.11","$4,209.18",,,
CARDIOVASCULAR,33419,OTHER,"1,447","$521,522.65","$408,332.20",,,
CARDIOVASCULAR,33419,TOTAL,"1,526","$526,892.76","$412,541.38",,,
CARDIOVASCULAR,33420,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33420,OTHER,23,"$5,102.34","$3,925.77",,,
CARDIOVASCULAR,33420,TOTAL,23,"$5,102.34","$3,925.77",,,
CARDIOVASCULAR,33422,80S,14,"$1,998.01","$1,480.30",,,
CARDIOVASCULAR,33422,OTHER,25,"$25,692.85","$18,518.23",,,
CARDIOVASCULAR,33422,TOTAL,39,"$27,690.86","$19,998.53",,,
CARDIOVASCULAR,33425,80S,326,"$125,543.24","$98,002.79",,,
CARDIOVASCULAR,33425,OTHER,496,"$1,357,989.24","$1,054,354.82",,,
CARDIOVASCULAR,33425,TOTAL,822,"$1,483,532.48","$1,152,357.61",,,
CARDIOVASCULAR,33426,80S,"2,345","$717,487.12","$559,951.45",,,
CARDIOVASCULAR,33426,OTHER,"4,027","$8,490,339.39","$6,615,737.87",,,
CARDIOVASCULAR,33426,TOTAL,"6,372","$9,207,826.51","$7,175,689.32",,,
CARDIOVASCULAR,33427,80S,"1,729","$627,265.72","$489,429.54",,,
CARDIOVASCULAR,33427,OTHER,"3,014","$7,400,978.28","$5,766,460.15",,,
CARDIOVASCULAR,33427,TOTAL,"4,743","$8,028,244.00","$6,255,889.69",,,
CARDIOVASCULAR,33430,80S,"5,198","$2,122,082.63","$1,656,921.38",,,
CARDIOVASCULAR,33430,OTHER,"8,571","$24,111,022.54","$18,745,910.49",,,
CARDIOVASCULAR,33430,TOTAL,"13,769","$26,233,105.17","$20,402,831.87",,,
CARDIOVASCULAR,33460,80S,11,"$3,229.58","$2,531.99",,,
CARDIOVASCULAR,33460,OTHER,20,"$35,594.76","$27,867.12",,,
CARDIOVASCULAR,33460,TOTAL,31,"$38,824.34","$30,399.11",,,
CARDIOVASCULAR,33463,80S,316,"$137,605.47","$107,101.35",,,
