CPT only copyright 2018 American Medical Association. All rights reserved.,,,,,
,,,,,
"""2018 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)""
",,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17930,,,,,
DESCRIPTION,HCPCS,MODIFIER,ALLOWED SERVICES,ALLOWED CHARGES,PAYMENT
CARDIOVASCULAR,33010,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33010,OTHER,"6,344","$619,290.70","$480,735.06"
CARDIOVASCULAR,33231,TOTAL,173,"$139,889.10","$109,151.97"
CARDIOVASCULAR,33233,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33233,OTHER,"8,705","$1,668,701.17","$1,301,373.52"
CARDIOVASCULAR,33233,TOTAL,"8,705","$1,668,701.17","$1,301,373.52"
CARDIOVASCULAR,33234,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33234,OTHER,"2,824","$1,101,564.62","$856,998.09"
CARDIOVASCULAR,33234,TOTAL,"2,824","$1,101,564.62","$856,998.09"
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33235,SG,N/A,"$1,436.22","$1,126.00"
CARDIOVASCULAR,33235,OTHER,"3,934","$2,275,768.79","$1,772,680.46"
CARDIOVASCULAR,33235,TOTAL,"3,935","$2,277,205.01","$1,773,806.46"
CARDIOVASCULAR,33236,80S,N/A,$99.29,$77.84
CARDIOVASCULAR,33236,OTHER,30,"$16,564.01","$12,973.53"
CARDIOVASCULAR,33236,TOTAL,31,"$16,663.30","$13,051.37"
CARDIOVASCULAR,33237,80S,N/A,$423.89,$332.31
CARDIOVASCULAR,33237,OTHER,32,"$22,039.03","$17,259.79"
CARDIOVASCULAR,33237,TOTAL,35,"$22,462.92","$17,592.10"
CARDIOVASCULAR,33238,80S,11,$982.51,$767.08
CARDIOVASCULAR,33238,OTHER,93,"$59,039.40","$45,811.43"
CARDIOVASCULAR,33238,TOTAL,104,"$60,021.91","$46,578.51"
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33240,OTHER,336,"$154,740.95","$119,613.73"
CARDIOVASCULAR,33240,TOTAL,336,"$154,740.95","$119,613.73"
CARDIOVASCULAR,33241,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33241,OTHER,"6,463","$876,326.97","$681,711.18"
CARDIOVASCULAR,33241,TOTAL,"6,463","$876,326.97","$681,711.18"
CARDIOVASCULAR,33243,80S,105,"$12,344.90","$9,534.25"
CARDIOVASCULAR,33243,OTHER,285,"$248,891.42","$192,234.09"
CARDIOVASCULAR,33243,TOTAL,390,"$261,236.32","$201,768.34"
CARDIOVASCULAR,33244,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33244,OTHER,"4,162","$3,130,190.75","$2,436,114.05"
CARDIOVASCULAR,33244,TOTAL,"4,162","$3,130,190.75","$2,436,114.05"
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33249,SG,N/A,"$52,567.32","$41,212.78"
CARDIOVASCULAR,33249,OTHER,"45,989","$66,802,827.93","$52,004,951.82"
CARDIOVASCULAR,33249,TOTAL,"45,991","$66,855,395.25","$52,046,164.60"
CARDIOVASCULAR,33250,80S,15,"$2,124.02","$1,665.28"
CARDIOVASCULAR,33250,OTHER,22,"$25,819.18","$20,231.08"
CARDIOVASCULAR,33250,TOTAL,37,"$27,943.20","$21,896.36"
CARDIOVASCULAR,33251,80S,N/A,$576.28,$450.78
CARDIOVASCULAR,33251,OTHER,11,"$11,378.30","$8,883.42"
CARDIOVASCULAR,33251,TOTAL,16,"$11,954.58","$9,334.20"
CARDIOVASCULAR,33254,80S,33,"$6,550.83","$5,132.46"
CARDIOVASCULAR,33254,OTHER,88,"$118,270.72","$92,020.19"
CARDIOVASCULAR,33254,TOTAL,121,"$124,821.55","$97,152.65"
CARDIOVASCULAR,33255,80S,19,"$4,574.30","$3,586.27"
CARDIOVASCULAR,33255,OTHER,63,"$103,706.20","$81,028.13"
CARDIOVASCULAR,33255,TOTAL,82,"$108,280.50","$84,614.40"
CARDIOVASCULAR,33256,80S,38,"$10,952.57","$8,565.02"
CARDIOVASCULAR,33256,OTHER,71,"$141,540.24","$108,022.83"
CARDIOVASCULAR,33256,TOTAL,109,"$152,492.81","$116,587.85"
CARDIOVASCULAR,33257,80S,"2,145","$183,145.41","$142,650.48"
CARDIOVASCULAR,33257,OTHER,"3,525","$2,111,435.88","$1,645,475.86"
CARDIOVASCULAR,33257,TOTAL,"5,670","$2,294,581.29","$1,788,126.34"
CARDIOVASCULAR,33258,80S,21,"$1,922.36","$1,507.10"
CARDIOVASCULAR,33258,OTHER,44,"$29,662.00","$23,269.79"
CARDIOVASCULAR,33258,TOTAL,65,"$31,584.36","$24,776.89"
CARDIOVASCULAR,33259,80S,"2,421","$303,106.88","$235,802.55"
CARDIOVASCULAR,33259,OTHER,"4,163","$3,633,147.77","$2,823,578.53"
CARDIOVASCULAR,33259,TOTAL,"6,584","$3,936,254.65","$3,059,381.08"
CARDIOVASCULAR,33261,80S,N/A,$365.85,$286.83
CARDIOVASCULAR,33261,OTHER,21,"$23,242.38","$18,037.32"
CARDIOVASCULAR,33261,TOTAL,24,"$23,608.23","$18,324.15"
CARDIOVASCULAR,33262,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33262,SG,N/A,"$21,851.84",$927.95
CARDIOVASCULAR,33262,OTHER,"3,596","$2,560,374.90","$1,980,370.34"
CARDIOVASCULAR,33262,TOTAL,"3,597","$2,582,226.74","$1,981,298.29"
CARDIOVASCULAR,33263,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33263,SG,N/A,"$40,754.94","$31,951.87"
CARDIOVASCULAR,33263,OTHER,"10,084","$10,137,465.76","$7,846,568.56"
CARDIOVASCULAR,33263,TOTAL,"10,086","$10,178,220.70","$7,878,520.43"
CARDIOVASCULAR,33264,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33264,SG,N/A,$0.00,$0.00
CARDIOVASCULAR,33264,OTHER,"13,336","$16,694,932.47","$12,920,337.39"
CARDIOVASCULAR,33264,TOTAL,"13,336","$16,694,932.47","$12,920,337.39"
CARDIOVASCULAR,33265,80S,111,"$20,646.40","$16,018.51"
CARDIOVASCULAR,33265,OTHER,244,"$329,797.13","$255,463.10"
CARDIOVASCULAR,33265,TOTAL,355,"$350,443.53","$271,481.61"
CARDIOVASCULAR,33266,80S,259,"$69,697.61","$54,098.77"
CARDIOVASCULAR,33266,OTHER,452,"$851,452.27","$659,909.31"
CARDIOVASCULAR,33266,TOTAL,711,"$921,149.88","$714,008.08"
CARDIOVASCULAR,33270,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33270,OTHER,"1,474","$882,965.70","$683,520.66"
CARDIOVASCULAR,33270,TOTAL,"1,474","$882,965.70","$683,520.66"
CARDIOVASCULAR,33271,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33271,OTHER,49,"$18,844.22","$14,759.58"
CARDIOVASCULAR,33271,TOTAL,49,"$18,844.22","$14,759.58"
CARDIOVASCULAR,33272,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33272,OTHER,146,"$39,498.85","$30,916.00"
CARDIOVASCULAR,33272,TOTAL,146,"$39,498.85","$30,916.00"
CARDIOVASCULAR,33273,OTHER,27,"$12,023.45","$9,446.12"
CARDIOVASCULAR,33273,TOTAL,27,"$12,023.45","$9,446.12"
CARDIOVASCULAR,33282,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33282,SG,N/A,"$18,467.88","$14,478.81"
CARDIOVASCULAR,33282,OTHER,"51,023","$23,747,093.36","$18,405,109.75"
CARDIOVASCULAR,33282,TOTAL,"51,026","$23,765,561.24","$18,419,588.56"
CARDIOVASCULAR,33284,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33284,SG,N/A,$286.88,$224.91
CARDIOVASCULAR,33284,OTHER,"16,224","$2,721,646.20","$2,080,858.94"
CARDIOVASCULAR,33284,TOTAL,"16,225","$2,721,933.08","$2,081,083.85"
CARDIOVASCULAR,33300,80S,91,"$32,133.42","$24,759.14"
CARDIOVASCULAR,33300,OTHER,229,"$555,905.73","$431,818.91"
CARDIOVASCULAR,33300,TOTAL,320,"$588,039.15","$456,578.05"
CARDIOVASCULAR,33305,80S,108,"$66,432.01","$51,568.62"
CARDIOVASCULAR,33305,OTHER,209,"$844,295.82","$657,859.94"
CARDIOVASCULAR,33305,TOTAL,317,"$910,727.83","$709,428.56"
CARDIOVASCULAR,33310,80S,23,"$4,119.21","$3,242.10"
CARDIOVASCULAR,33310,OTHER,73,"$82,883.72","$64,920.15"
CARDIOVASCULAR,33310,TOTAL,96,"$87,002.93","$68,162.25"
CARDIOVASCULAR,33315,80S,129,"$30,079.57","$23,319.34"
CARDIOVASCULAR,33315,OTHER,262,"$392,137.07","$303,560.29"
CARDIOVASCULAR,33315,TOTAL,391,"$422,216.64","$326,879.63"
CARDIOVASCULAR,33320,80S,29,"$3,346.16","$2,466.30"
CARDIOVASCULAR,33320,OTHER,79,"$59,334.04","$46,467.79"
CARDIOVASCULAR,33320,TOTAL,108,"$62,680.20","$48,934.09"
CARDIOVASCULAR,33322,80S,57,"$7,480.17","$5,787.71"
CARDIOVASCULAR,33322,OTHER,106,"$90,799.85","$70,114.11"
CARDIOVASCULAR,33322,TOTAL,163,"$98,280.02","$75,901.82"
CARDIOVASCULAR,33330,80S,N/A,"$1,175.34",$921.45
CARDIOVASCULAR,33330,OTHER,17,"$22,230.51","$17,428.71"
CARDIOVASCULAR,33330,TOTAL,23,"$23,405.85","$18,350.16"
CARDIOVASCULAR,33335,80S,29,"$5,457.99","$4,275.71"
CARDIOVASCULAR,33335,OTHER,52,"$65,460.59","$50,907.81"
CARDIOVASCULAR,33335,TOTAL,81,"$70,918.58","$55,183.52"
CARDIOVASCULAR,33340,80S,163,"$19,705.72","$15,342.32"
CARDIOVASCULAR,33340,OTHER,"14,367","$10,389,367.56","$8,119,337.68"
CARDIOVASCULAR,33340,TOTAL,"14,530","$10,409,073.28","$8,134,680.00"
CARDIOVASCULAR,33361,80S,31,"$4,110.97","$3,172.67"
CARDIOVASCULAR,33361,OTHER,"66,255","$59,093,349.32","$46,205,481.30"
CARDIOVASCULAR,33361,TOTAL,"66,286","$59,097,460.29","$46,208,653.97"
CARDIOVASCULAR,33362,80S,N/A,$150.69,$116.95
CARDIOVASCULAR,33362,OTHER,"4,583","$4,329,317.82","$3,382,464.53"
CARDIOVASCULAR,33362,TOTAL,"4,584","$4,329,468.51","$3,382,581.48"
CARDIOVASCULAR,33363,80S,N/A,$134.44,$105.40
CARDIOVASCULAR,33363,OTHER,"2,085","$2,081,336.15","$1,629,927.22"
CARDIOVASCULAR,33363,TOTAL,"2,086","$2,081,470.59","$1,630,032.62"
CARDIOVASCULAR,33364,OTHER,37,"$37,665.33","$29,520.59"
CARDIOVASCULAR,33364,TOTAL,37,"$37,665.33","$29,520.59"
CARDIOVASCULAR,33365,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33365,OTHER,667,"$757,047.53","$593,970.48"
CARDIOVASCULAR,33365,TOTAL,667,"$757,047.53","$593,970.48"
CARDIOVASCULAR,33366,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33366,OTHER,448,"$558,985.03","$437,831.13"
CARDIOVASCULAR,33366,TOTAL,448,"$558,985.03","$437,831.13"
CARDIOVASCULAR,33367,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33367,OTHER,104,"$67,259.13","$52,178.75"
CARDIOVASCULAR,33367,TOTAL,104,"$67,259.13","$52,178.75"
CARDIOVASCULAR,33368,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33368,OTHER,24,"$19,006.40","$14,895.09"
CARDIOVASCULAR,33368,TOTAL,24,"$19,006.40","$14,895.09"
CARDIOVASCULAR,33369,80S,N/A,$167.57,$131.38
CARDIOVASCULAR,33369,OTHER,N/A,"$10,100.62","$7,918.87"
CARDIOVASCULAR,33369,TOTAL,11,"$10,268.19","$8,050.25"
CARDIOVASCULAR,33390,80S,84,"$14,160.20","$11,106.00"
CARDIOVASCULAR,33390,OTHER,217,"$279,163.26","$218,084.98"
CARDIOVASCULAR,33390,TOTAL,301,"$293,323.46","$229,190.98"
CARDIOVASCULAR,33391,80S,57,"$12,550.19","$9,836.66"
CARDIOVASCULAR,33391,OTHER,127,"$187,099.78","$145,956.76"
CARDIOVASCULAR,33391,TOTAL,184,"$199,649.97","$155,793.42"
CARDIOVASCULAR,33404,OTHER,N/A,"$1,887.99","$1,480.18"
CARDIOVASCULAR,33404,TOTAL,N/A,"$1,887.99","$1,480.18"
CARDIOVASCULAR,33405,80S,"12,169","$3,642,409.08","$2,829,071.53"
CARDIOVASCULAR,33405,OTHER,"20,540","$42,963,482.36","$33,384,067.65"
CARDIOVASCULAR,33405,TOTAL,"32,709","$46,605,891.44","$36,213,139.18"
CARDIOVASCULAR,33406,80S,101,"$39,581.02","$31,059.00"
CARDIOVASCULAR,33406,OTHER,163,"$453,884.37","$355,567.43"
CARDIOVASCULAR,33406,TOTAL,264,"$493,465.39","$386,626.43"
CARDIOVASCULAR,33410,80S,320,"$111,067.99","$86,467.45"
CARDIOVASCULAR,33410,OTHER,562,"$1,356,512.82","$1,051,994.64"
CARDIOVASCULAR,33410,TOTAL,882,"$1,467,580.81","$1,138,462.09"
CARDIOVASCULAR,33411,80S,456,"$226,718.83","$174,923.81"
CARDIOVASCULAR,33411,OTHER,818,"$2,834,341.60","$2,191,849.27"
CARDIOVASCULAR,33411,TOTAL,"1,274","$3,061,060.43","$2,366,773.08"
CARDIOVASCULAR,33412,80S,22,"$10,027.25","$7,907.37"
CARDIOVASCULAR,33412,OTHER,27,"$85,226.42","$66,768.57"
CARDIOVASCULAR,33412,TOTAL,49,"$95,253.67","$74,675.94"
CARDIOVASCULAR,33413,80S,N/A,$629.73,$493.70
CARDIOVASCULAR,33413,OTHER,N/A,"$24,660.91","$19,334.16"
CARDIOVASCULAR,33413,TOTAL,N/A,"$25,290.64","$19,827.86"
CARDIOVASCULAR,33414,80S,37,"$6,799.98","$5,328.58"
CARDIOVASCULAR,33414,OTHER,59,"$74,363.52","$58,284.31"
CARDIOVASCULAR,33414,TOTAL,96,"$81,163.50","$63,612.89"
CARDIOVASCULAR,33415,80S,50,"$8,674.89","$6,797.47"
CARDIOVASCULAR,33415,OTHER,126,"$164,857.77","$128,543.76"
CARDIOVASCULAR,33415,TOTAL,176,"$173,532.66","$135,341.23"
CARDIOVASCULAR,33416,80S,372,"$69,758.69","$54,613.43"
CARDIOVASCULAR,33416,OTHER,820,"$1,118,981.31","$869,263.73"
CARDIOVASCULAR,33416,TOTAL,"1,192","$1,188,740.00","$923,877.16"
CARDIOVASCULAR,33417,80S,29,"$3,898.20","$3,056.15"
CARDIOVASCULAR,33417,OTHER,98,"$91,490.08","$71,695.28"
CARDIOVASCULAR,33417,TOTAL,127,"$95,388.28","$74,751.43"
CARDIOVASCULAR,33418,80S,409,"$120,165.14","$94,149.97"
CARDIOVASCULAR,33418,OTHER,"5,864","$8,811,223.68","$6,904,372.96"
CARDIOVASCULAR,33418,TOTAL,"6,273","$8,931,388.82","$6,998,522.93"
CARDIOVASCULAR,33419,80S,165,"$11,499.15","$9,012.73"
CARDIOVASCULAR,33419,OTHER,"2,183","$799,331.65","$625,869.59"
CARDIOVASCULAR,33419,TOTAL,"2,348","$810,830.80","$634,882.32"
CARDIOVASCULAR,33420,80S,N/A,$0.00,$0.00
CARDIOVASCULAR,33420,OTHER,20,"$11,536.47","$8,980.51"
CARDIOVASCULAR,33420,TOTAL,20,"$11,536.47","$8,980.51"
CARDIOVASCULAR,33422,80S,15,"$2,165.83","$1,698.03"
CARDIOVASCULAR,33422,OTHER,26,"$26,180.68","$19,792.51"
CARDIOVASCULAR,33422,TOTAL,41,"$28,346.51","$21,490.54"
CARDIOVASCULAR,33425,80S,279,"$106,052.13","$82,356.99"
CARDIOVASCULAR,33425,OTHER,498,"$1,347,529.42","$1,047,699.50"
CARDIOVASCULAR,33425,TOTAL,777,"$1,453,581.55","$1,130,056.49"
CARDIOVASCULAR,33426,80S,"1,998","$615,285.15","$477,731.56"
CARDIOVASCULAR,33426,OTHER,"3,391","$7,199,180.94","$5,594,776.49"
CARDIOVASCULAR,33426,TOTAL,"5,389","$7,814,466.09","$6,072,508.05"
CARDIOVASCULAR,33427,80S,"1,657","$598,050.89","$465,868.32"
CARDIOVASCULAR,33427,OTHER,"2,993","$7,418,991.62","$5,777,907.66"
CARDIOVASCULAR,33427,TOTAL,"4,650","$8,017,042.51","$6,243,775.98"
CARDIOVASCULAR,33430,80S,"4,671","$1,890,168.36","$1,473,438.92"
CARDIOVASCULAR,33430,OTHER,"7,880","$22,228,376.57","$17,297,698.22"
CARDIOVASCULAR,33430,TOTAL,"12,551","$24,118,544.93","$18,771,137.14"
CARDIOVASCULAR,33460,80S,N/A,"$1,731.04","$1,340.09"
CARDIOVASCULAR,33460,OTHER,13,"$27,936.75","$21,757.99"
CARDIOVASCULAR,33460,TOTAL,18,"$29,667.79","$23,098.08"
CARDIOVASCULAR,33463,80S,260,"$112,810.83","$88,296.32"
CARDIOVASCULAR,33463,OTHER,400,"$1,184,942.36","$928,033.03"
CARDIOVASCULAR,33463,TOTAL,660,"$1,297,753.19","$1,016,329.35"
CARDIOVASCULAR,33464,80S,"1,662","$427,275.07","$334,624.10"
CARDIOVASCULAR,33464,OTHER,"3,145","$5,581,548.97","$4,361,027.36"
CARDIOVASCULAR,33464,TOTAL,"4,807","$6,008,824.04","$4,695,651.46"
CARDIOVASCULAR,33465,80S,232,"$83,414.33","$65,373.07"
CARDIOVASCULAR,33465,OTHER,484,"$1,193,540.66","$931,704.10"
CARDIOVASCULAR,33465,TOTAL,716,"$1,276,954.99","$997,077.17"
CARDIOVASCULAR,33468,80S,N/A,$913.57,$716.25
CARDIOVASCULAR,33468,OTHER,N/A,"$15,187.40","$11,906.92"
CARDIOVASCULAR,33468,TOTAL,N/A,"$16,100.97","$12,623.17"
CARDIOVASCULAR,33470,OTHER,N/A,"$1,602.45","$1,339.59"
CARDIOVASCULAR,33470,TOTAL,N/A,"$1,602.45","$1,339.59"
CARDIOVASCULAR,33471,OTHER,N/A,$703.69,$551.69
CARDIOVASCULAR,33471,TOTAL,N/A,$703.69,$551.69
CARDIOVASCULAR,33474,80S,N/A,$330.60,$259.19
CARDIOVASCULAR,33474,OTHER,N/A,"$3,387.19","$2,655.54"
CARDIOVASCULAR,33474,TOTAL,N/A,"$3,717.79","$2,914.73"
CARDIOVASCULAR,33475,80S,45,"$12,556.71","$9,837.39"
