CPT only copyright 2017 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2017 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17926,,,,,,,,
CARDIOVASCULAR,33212,TOTAL,491,"$169,273.84","$131,246.80",,,
CARDIOVASCULAR,33213,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33213,OTHER,"1,772","$651,056.66","$501,622.92",,,
CARDIOVASCULAR,33213,TOTAL,"1,772","$651,056.66","$501,622.92",,,
CARDIOVASCULAR,33214,80S,N/A,$37.74,$29.59,,,
CARDIOVASCULAR,33214,OTHER,415,"$188,298.04","$145,648.93",,,
CARDIOVASCULAR,33214,TOTAL,416,"$188,335.78","$145,678.52",,,
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33215,OTHER,"3,463","$936,182.35","$728,449.95",,,
CARDIOVASCULAR,33215,TOTAL,"3,463","$936,182.35","$728,449.95",,,
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33216,OTHER,"3,741","$1,289,249.84","$999,937.04",,,
CARDIOVASCULAR,33216,TOTAL,"3,741","$1,289,249.84","$999,937.04",,,
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33217,OTHER,653,"$222,692.53","$172,921.46",,,
CARDIOVASCULAR,33217,TOTAL,653,"$222,692.53","$172,921.46",,,
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33218,OTHER,537,"$185,934.48","$143,650.21",,,
CARDIOVASCULAR,33218,TOTAL,537,"$185,934.48","$143,650.21",,,
CARDIOVASCULAR,33220,OTHER,105,"$35,391.77","$27,249.33",,,
CARDIOVASCULAR,33220,TOTAL,105,"$35,391.77","$27,249.33",,,
CARDIOVASCULAR,33221,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33221,OTHER,351,"$206,555.64","$160,394.24",,,
CARDIOVASCULAR,33221,TOTAL,351,"$206,555.64","$160,394.24",,,
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33222,OTHER,"2,164","$529,642.13","$411,222.11",,,
CARDIOVASCULAR,33222,TOTAL,"2,164","$529,642.13","$411,222.11",,,
CARDIOVASCULAR,33223,80S,N/A,$194.05,$152.13,,,
CARDIOVASCULAR,33223,OTHER,"1,601","$632,412.20","$490,105.56",,,
CARDIOVASCULAR,33223,TOTAL,"1,604","$632,606.25","$490,257.69",,,
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33224,OTHER,"1,460","$718,281.70","$558,722.11",,,
CARDIOVASCULAR,33224,TOTAL,"1,460","$718,281.70","$558,722.11",,,
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33225,SG,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33225,OTHER,"33,300","$16,153,892.68","$12,624,993.81",,,
CARDIOVASCULAR,33225,TOTAL,"33,300","$16,153,892.68","$12,624,993.81",,,
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33226,OTHER,322,"$161,547.52","$125,692.90",,,
CARDIOVASCULAR,33226,TOTAL,322,"$161,547.52","$125,692.90",,,
CARDIOVASCULAR,33227,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33227,OTHER,"5,098","$2,317,466.46","$1,787,200.13",,,
CARDIOVASCULAR,33227,TOTAL,"5,098","$2,317,466.46","$1,787,200.13",,,
CARDIOVASCULAR,33228,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33228,OTHER,"32,484","$17,009,618.53","$13,143,043.77",,,
CARDIOVASCULAR,33228,TOTAL,"32,484","$17,009,618.53","$13,143,043.77",,,
CARDIOVASCULAR,33229,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33229,OTHER,"4,718","$2,738,403.53","$2,132,851.38",,,
CARDIOVASCULAR,33229,TOTAL,"4,718","$2,738,403.53","$2,132,851.38",,,
CARDIOVASCULAR,33230,OTHER,190,"$90,710.26","$70,719.41",,,
CARDIOVASCULAR,33230,TOTAL,190,"$90,710.26","$70,719.41",,,
CARDIOVASCULAR,33231,OTHER,185,"$123,986.64","$96,934.42",,,
CARDIOVASCULAR,33231,TOTAL,185,"$123,986.64","$96,934.42",,,
CARDIOVASCULAR,33233,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33233,OTHER,"9,075","$1,631,003.05","$1,272,633.13",,,
CARDIOVASCULAR,33233,TOTAL,"9,075","$1,631,003.05","$1,272,633.13",,,
CARDIOVASCULAR,33234,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33234,OTHER,"2,889","$1,118,750.37","$869,935.95",,,
CARDIOVASCULAR,33234,TOTAL,"2,889","$1,118,750.37","$869,935.95",,,
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33235,OTHER,"3,910","$2,226,513.37","$1,732,933.82",,,
CARDIOVASCULAR,33235,TOTAL,"3,910","$2,226,513.37","$1,732,933.82",,,
CARDIOVASCULAR,33236,80S,N/A,$120.14,$94.19,,,
CARDIOVASCULAR,33236,OTHER,N/A,"$6,071.48","$4,760.04",,,
CARDIOVASCULAR,33236,TOTAL,N/A,"$6,191.62","$4,854.23",,,
CARDIOVASCULAR,33237,80S,N/A,$373.77,$293.04,,,
CARDIOVASCULAR,33237,OTHER,48,"$29,476.78","$23,055.39",,,
CARDIOVASCULAR,33237,TOTAL,53,"$29,850.55","$23,348.43",,,
CARDIOVASCULAR,33238,80S,13,"$1,113.53",$866.62,,,
CARDIOVASCULAR,33238,OTHER,103,"$69,454.31","$54,465.55",,,
CARDIOVASCULAR,33238,TOTAL,116,"$70,567.84","$55,332.17",,,
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33240,OTHER,438,"$156,030.88","$120,837.65",,,
CARDIOVASCULAR,33240,TOTAL,438,"$156,030.88","$120,837.65",,,
CARDIOVASCULAR,33241,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33241,OTHER,"6,909","$894,724.36","$693,940.51",,,
CARDIOVASCULAR,33241,TOTAL,"6,909","$894,724.36","$693,940.51",,,
CARDIOVASCULAR,33243,80S,104,"$12,897.22","$9,966.84",,,
CARDIOVASCULAR,33243,OTHER,273,"$237,558.71","$183,231.52",,,
CARDIOVASCULAR,33243,TOTAL,377,"$250,455.93","$193,198.36",,,
CARDIOVASCULAR,33244,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33244,OTHER,"4,370","$3,236,308.99","$2,511,643.62",,,
CARDIOVASCULAR,33244,TOTAL,"4,370","$3,236,308.99","$2,511,643.62",,,
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33249,SG,N/A,"$51,323.68","$40,237.76",,,
CARDIOVASCULAR,33249,OTHER,"46,989","$60,601,811.76","$47,240,863.83",,,
CARDIOVASCULAR,33249,TOTAL,"46,991","$60,653,135.44","$47,281,101.59",,,
CARDIOVASCULAR,33250,80S,N/A,$851.26,$631.20,,,
CARDIOVASCULAR,33250,OTHER,16,"$16,581.30","$12,722.91",,,
CARDIOVASCULAR,33250,TOTAL,24,"$17,432.56","$13,354.11",,,
CARDIOVASCULAR,33251,80S,N/A,$960.22,$752.81,,,
CARDIOVASCULAR,33251,OTHER,17,"$16,604.52","$12,967.06",,,
CARDIOVASCULAR,33251,TOTAL,25,"$17,564.74","$13,719.87",,,
CARDIOVASCULAR,33254,80S,25,"$5,095.15","$3,858.73",,,
CARDIOVASCULAR,33254,OTHER,67,"$92,122.83","$72,215.76",,,
CARDIOVASCULAR,33254,TOTAL,92,"$97,217.98","$76,074.49",,,
CARDIOVASCULAR,33255,80S,29,"$6,971.83","$5,359.92",,,
CARDIOVASCULAR,33255,OTHER,72,"$121,996.41","$93,880.56",,,
CARDIOVASCULAR,33255,TOTAL,101,"$128,968.24","$99,240.48",,,
CARDIOVASCULAR,33256,80S,39,"$11,631.81","$9,119.32",,,
CARDIOVASCULAR,33256,OTHER,81,"$160,378.12","$125,321.26",,,
CARDIOVASCULAR,33256,TOTAL,120,"$172,009.93","$134,440.58",,,
CARDIOVASCULAR,33257,80S,"1,987","$169,031.85","$131,529.42",,,
CARDIOVASCULAR,33257,OTHER,"3,437","$2,053,745.04","$1,597,727.81",,,
CARDIOVASCULAR,33257,TOTAL,"5,424","$2,222,776.89","$1,729,257.23",,,
CARDIOVASCULAR,33258,80S,51,"$4,817.87","$3,774.05",,,
CARDIOVASCULAR,33258,OTHER,73,"$48,467.92","$38,600.12",,,
CARDIOVASCULAR,33258,TOTAL,124,"$53,285.79","$42,374.17",,,
CARDIOVASCULAR,33259,80S,"2,376","$296,326.05","$231,285.69",,,
CARDIOVASCULAR,33259,OTHER,"4,062","$3,546,418.46","$2,764,092.52",,,
CARDIOVASCULAR,33259,TOTAL,"6,438","$3,842,744.51","$2,995,378.21",,,
CARDIOVASCULAR,33261,80S,11,"$1,357.59","$1,058.15",,,
CARDIOVASCULAR,33261,OTHER,31,"$28,448.57","$22,459.52",,,
CARDIOVASCULAR,33261,TOTAL,42,"$29,806.16","$23,517.67",,,
CARDIOVASCULAR,33262,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33262,OTHER,"3,659","$2,551,208.41","$1,973,768.97",,,
CARDIOVASCULAR,33262,TOTAL,"3,659","$2,551,208.41","$1,973,768.97",,,
CARDIOVASCULAR,33263,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33263,OTHER,"12,096","$9,600,963.73","$7,422,655.89",,,
CARDIOVASCULAR,33263,TOTAL,"12,096","$9,600,963.73","$7,422,655.89",,,
CARDIOVASCULAR,33264,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33264,OTHER,"16,230","$15,673,212.65","$12,185,616.20",,,
CARDIOVASCULAR,33264,TOTAL,"16,230","$15,673,212.65","$12,185,616.20",,,
CARDIOVASCULAR,33265,80S,89,"$16,813.18","$12,819.98",,,
CARDIOVASCULAR,33265,OTHER,240,"$324,836.91","$252,274.36",,,
CARDIOVASCULAR,33265,TOTAL,329,"$341,650.09","$265,094.34",,,
CARDIOVASCULAR,33266,80S,241,"$65,213.98","$50,757.70",,,
CARDIOVASCULAR,33266,OTHER,426,"$798,123.35","$617,051.19",,,
CARDIOVASCULAR,33266,TOTAL,667,"$863,337.33","$667,808.89",,,
CARDIOVASCULAR,33270,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33270,OTHER,"1,463","$937,349.94","$726,068.18",,,
CARDIOVASCULAR,33270,TOTAL,"1,463","$937,349.94","$726,068.18",,,
CARDIOVASCULAR,33271,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33271,OTHER,53,"$23,407.83","$18,306.17",,,
CARDIOVASCULAR,33271,TOTAL,53,"$23,407.83","$18,306.17",,,
CARDIOVASCULAR,33272,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33272,OTHER,132,"$35,318.63","$27,674.30",,,
CARDIOVASCULAR,33272,TOTAL,132,"$35,318.63","$27,674.30",,,
CARDIOVASCULAR,33273,OTHER,27,"$9,702.49","$7,541.19",,,
CARDIOVASCULAR,33273,TOTAL,27,"$9,702.49","$7,541.19",,,
CARDIOVASCULAR,33282,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33282,SG,N/A,"$23,424.59","$18,364.87",,,
CARDIOVASCULAR,33282,OTHER,"43,267","$17,797,411.73","$13,787,343.89",,,
CARDIOVASCULAR,33282,TOTAL,"43,271","$17,820,836.32","$13,805,708.76",,,
CARDIOVASCULAR,33284,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33284,OTHER,"12,112","$2,002,737.00","$1,529,741.19",,,
CARDIOVASCULAR,33284,TOTAL,"12,112","$2,002,737.00","$1,529,741.19",,,
CARDIOVASCULAR,33300,80S,80,"$28,294.48","$21,822.87",,,
CARDIOVASCULAR,33300,OTHER,230,"$547,241.78","$424,325.39",,,
CARDIOVASCULAR,33300,TOTAL,310,"$575,536.26","$446,148.26",,,
CARDIOVASCULAR,33305,80S,102,"$61,671.75","$48,122.01",,,
CARDIOVASCULAR,33305,OTHER,209,"$848,590.14","$662,093.03",,,
CARDIOVASCULAR,33305,TOTAL,311,"$910,261.89","$710,215.04",,,
CARDIOVASCULAR,33310,80S,28,"$4,236.72","$3,321.59",,,
CARDIOVASCULAR,33310,OTHER,68,"$70,300.44","$55,129.31",,,
CARDIOVASCULAR,33310,TOTAL,96,"$74,537.16","$58,450.90",,,
CARDIOVASCULAR,33315,80S,113,"$25,238.93","$19,774.05",,,
CARDIOVASCULAR,33315,OTHER,262,"$399,196.68","$312,363.66",,,
CARDIOVASCULAR,33315,TOTAL,375,"$424,435.61","$332,137.71",,,
CARDIOVASCULAR,33320,80S,30,"$3,567.52","$2,791.48",,,
CARDIOVASCULAR,33320,OTHER,85,"$69,986.66","$54,809.12",,,
CARDIOVASCULAR,33320,TOTAL,115,"$73,554.18","$57,600.60",,,
CARDIOVASCULAR,33321,80S,N/A,$286.08,$224.29,,,
CARDIOVASCULAR,33321,OTHER,N/A,"$3,566.77","$2,777.38",,,
CARDIOVASCULAR,33321,TOTAL,N/A,"$3,852.85","$3,001.67",,,
CARDIOVASCULAR,33322,80S,53,"$6,546.92","$5,124.02",,,
CARDIOVASCULAR,33322,OTHER,98,"$81,550.23","$63,366.04",,,
CARDIOVASCULAR,33322,TOTAL,151,"$88,097.15","$68,490.06",,,
CARDIOVASCULAR,33330,80S,N/A,"$1,814.76","$1,422.75",,,
CARDIOVASCULAR,33330,OTHER,35,"$33,258.71","$26,005.23",,,
CARDIOVASCULAR,33330,TOTAL,44,"$35,073.47","$27,427.98",,,
CARDIOVASCULAR,33335,80S,24,"$4,491.14","$3,313.40",,,
CARDIOVASCULAR,33335,OTHER,54,"$71,362.48","$54,376.72",,,
CARDIOVASCULAR,33335,TOTAL,78,"$75,853.62","$57,690.12",,,
CARDIOVASCULAR,33340,80S,164,"$20,047.73","$15,572.49",,,
CARDIOVASCULAR,33340,OTHER,"8,652","$6,562,077.15","$5,128,456.05",,,
CARDIOVASCULAR,33340,TOTAL,"8,816","$6,582,124.88","$5,144,028.54",,,
CARDIOVASCULAR,33361,80S,28,"$4,105.90","$3,130.07",,,
CARDIOVASCULAR,33361,OTHER,"58,599","$52,261,740.63","$40,891,737.14",,,
CARDIOVASCULAR,33361,TOTAL,"58,627","$52,265,846.53","$40,894,867.21",,,
CARDIOVASCULAR,33362,80S,N/A,$140.51,$105.75,,,
CARDIOVASCULAR,33362,OTHER,"5,423","$5,113,532.39","$4,008,237.87",,,
CARDIOVASCULAR,33362,TOTAL,"5,424","$5,113,672.90","$4,008,343.62",,,
CARDIOVASCULAR,33363,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33363,OTHER,"1,894","$1,929,999.04","$1,510,794.78",,,
CARDIOVASCULAR,33363,TOTAL,"1,894","$1,929,999.04","$1,510,794.78",,,
CARDIOVASCULAR,33364,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33364,OTHER,44,"$42,753.78","$33,455.81",,,
CARDIOVASCULAR,33364,TOTAL,44,"$42,753.78","$33,455.81",,,
CARDIOVASCULAR,33365,80S,N/A,$291.45,$228.50,,,
CARDIOVASCULAR,33365,OTHER,711,"$813,532.40","$636,484.04",,,
CARDIOVASCULAR,33365,TOTAL,712,"$813,823.85","$636,712.54",,,
CARDIOVASCULAR,33366,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33366,OTHER,859,"$1,071,494.64","$841,935.77",,,
CARDIOVASCULAR,33366,TOTAL,859,"$1,071,494.64","$841,935.77",,,
CARDIOVASCULAR,33367,80S,N/A,$298.31,$233.87,,,
CARDIOVASCULAR,33367,OTHER,157,"$103,124.63","$81,184.81",,,
CARDIOVASCULAR,33367,TOTAL,160,"$103,422.94","$81,418.68",,,
CARDIOVASCULAR,33368,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33368,OTHER,30,"$22,746.45","$17,992.08",,,
CARDIOVASCULAR,33368,TOTAL,30,"$22,746.45","$17,992.08",,,
CARDIOVASCULAR,33369,80S,N/A,$160.78,$126.05,,,
CARDIOVASCULAR,33369,OTHER,N/A,"$5,008.93","$3,927.01",,,
CARDIOVASCULAR,33369,TOTAL,N/A,"$5,169.71","$4,053.06",,,
CARDIOVASCULAR,33390,80S,88,"$14,584.05","$11,327.55",,,
CARDIOVASCULAR,33390,OTHER,217,"$268,186.85","$210,766.15",,,
CARDIOVASCULAR,33390,TOTAL,305,"$282,770.90","$222,093.70",,,
CARDIOVASCULAR,33391,80S,56,"$12,307.37","$9,625.23",,,
CARDIOVASCULAR,33391,OTHER,123,"$186,415.39","$145,622.43",,,
CARDIOVASCULAR,33391,TOTAL,179,"$198,722.76","$155,247.66",,,
CARDIOVASCULAR,33404,80S,N/A,$731.93,$567.12,,,
CARDIOVASCULAR,33404,OTHER,N/A,"$6,322.35","$4,914.73",,,
CARDIOVASCULAR,33404,TOTAL,N/A,"$7,054.28","$5,481.85",,,
CARDIOVASCULAR,33405,80S,"13,310","$4,012,114.79","$3,120,230.00",,,
CARDIOVASCULAR,33405,OTHER,"22,107","$46,418,644.99","$36,144,786.60",,,
CARDIOVASCULAR,33405,TOTAL,"35,417","$50,430,759.78","$39,265,016.60",,,
CARDIOVASCULAR,33406,80S,127,"$48,332.25","$37,444.27",,,
CARDIOVASCULAR,33406,OTHER,179,"$491,241.02","$383,137.84",,,
CARDIOVASCULAR,33406,TOTAL,306,"$539,573.27","$420,582.11",,,
CARDIOVASCULAR,33410,80S,425,"$145,131.97","$112,571.11",,,
CARDIOVASCULAR,33410,OTHER,704,"$1,708,772.06","$1,330,531.79",,,
CARDIOVASCULAR,33410,TOTAL,"1,129","$1,853,904.03","$1,443,102.90",,,
CARDIOVASCULAR,33411,80S,515,"$258,910.91","$202,237.41",,,
CARDIOVASCULAR,33411,OTHER,839,"$2,900,439.79","$2,254,069.09",,,
CARDIOVASCULAR,33411,TOTAL,"1,354","$3,159,350.70","$2,456,306.50",,,
CARDIOVASCULAR,33412,80S,16,"$7,487.78","$5,870.43",,,
CARDIOVASCULAR,33412,OTHER,25,"$80,054.06","$62,559.66",,,
CARDIOVASCULAR,33412,TOTAL,41,"$87,541.84","$68,430.09",,,
CARDIOVASCULAR,33413,80S,N/A,"$1,441.22","$1,129.93",,,
CARDIOVASCULAR,33413,OTHER,N/A,"$18,644.10","$12,300.81",,,
CARDIOVASCULAR,33413,TOTAL,N/A,"$20,085.32","$13,430.74",,,
CARDIOVASCULAR,33414,80S,45,"$9,431.57","$7,418.46",,,
CARDIOVASCULAR,33414,OTHER,69,"$90,061.03","$70,456.92",,,
CARDIOVASCULAR,33414,TOTAL,114,"$99,492.60","$77,875.38",,,
CARDIOVASCULAR,33415,80S,63,"$12,405.86","$9,615.52",,,
CARDIOVASCULAR,33415,OTHER,154,"$206,179.82","$167,033.95",,,
CARDIOVASCULAR,33415,TOTAL,217,"$218,585.68","$176,649.47",,,
CARDIOVASCULAR,33416,80S,395,"$73,258.70","$57,181.22",,,
CARDIOVASCULAR,33416,OTHER,836,"$1,116,017.36","$868,076.43",,,
CARDIOVASCULAR,33416,TOTAL,"1,231","$1,189,276.06","$925,257.65",,,
CARDIOVASCULAR,33417,80S,41,"$5,287.53","$4,135.57",,,
CARDIOVASCULAR,33417,OTHER,114,"$110,576.30","$90,577.55",,,
CARDIOVASCULAR,33417,TOTAL,155,"$115,863.83","$94,713.12",,,
CARDIOVASCULAR,33418,80S,354,"$104,253.10","$81,411.08",,,
CARDIOVASCULAR,33418,OTHER,"4,947","$7,369,758.57","$5,778,097.81",,,
CARDIOVASCULAR,33418,TOTAL,"5,301","$7,474,011.67","$5,859,508.89",,,
CARDIOVASCULAR,33419,80S,135,"$9,444.62","$7,395.58",,,
CARDIOVASCULAR,33419,OTHER,"1,938","$710,614.90","$556,638.50",,,
CARDIOVASCULAR,33419,TOTAL,"2,073","$720,059.52","$564,034.08",,,
CARDIOVASCULAR,33420,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33420,OTHER,N/A,"$2,318.27","$1,816.79",,,
CARDIOVASCULAR,33420,TOTAL,N/A,"$2,318.27","$1,816.79",,,
CARDIOVASCULAR,33422,80S,11,"$1,819.05","$1,423.97",,,
CARDIOVASCULAR,33422,OTHER,27,"$26,803.94","$21,043.93",,,
CARDIOVASCULAR,33422,TOTAL,38,"$28,622.99","$22,467.90",,,
CARDIOVASCULAR,33425,80S,296,"$110,825.82","$86,088.16",,,
CARDIOVASCULAR,33425,OTHER,530,"$1,412,274.77","$1,098,279.57",,,
CARDIOVASCULAR,33425,TOTAL,826,"$1,523,100.59","$1,184,367.73",,,
CARDIOVASCULAR,33426,80S,"2,255","$690,897.36","$538,173.17",,,
CARDIOVASCULAR,33426,OTHER,"3,731","$7,873,713.53","$6,140,124.94",,,
CARDIOVASCULAR,33426,TOTAL,"5,986","$8,564,610.89","$6,678,298.11",,,
CARDIOVASCULAR,33427,80S,"1,808","$648,803.06","$501,390.43",,,
CARDIOVASCULAR,33427,OTHER,"3,278","$8,095,529.01","$6,292,099.31",,,
CARDIOVASCULAR,33427,TOTAL,"5,086","$8,744,332.07","$6,793,489.74",,,
CARDIOVASCULAR,33430,80S,"4,587","$1,864,328.23","$1,451,496.01",,,
CARDIOVASCULAR,33430,OTHER,"7,922","$22,307,479.28","$17,350,028.44",,,
CARDIOVASCULAR,33430,TOTAL,"12,509","$24,171,807.51","$18,801,524.45",,,
CARDIOVASCULAR,33460,80S,12,"$3,687.87","$2,891.31",,,
CARDIOVASCULAR,33460,OTHER,18,"$37,576.94","$29,287.29",,,
CARDIOVASCULAR,33460,TOTAL,30,"$41,264.81","$32,178.60",,,
CARDIOVASCULAR,33463,80S,274,"$119,316.16","$92,846.27",,,
CARDIOVASCULAR,33463,OTHER,449,"$1,344,610.91","$1,047,591.97",,,
CARDIOVASCULAR,33463,TOTAL,723,"$1,463,927.07","$1,140,438.24",,,
CARDIOVASCULAR,33464,80S,"1,783","$461,346.83","$360,388.45",,,
CARDIOVASCULAR,33464,OTHER,"3,214","$5,774,071.51","$4,507,351.44",,,
CARDIOVASCULAR,33464,TOTAL,"4,997","$6,235,418.34","$4,867,739.89",,,
CARDIOVASCULAR,33465,80S,243,"$87,990.12","$68,492.52",,,
