"CPT only copyright 2019 American Medical Association. All rights reserved.					",,,,,,
,,,,,,
"2019 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)",,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-17844,,,,,,
CARDIOVASCULAR,33212,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33212,OTHER,325 ,"$113,857.44 ","$88,958.66 ",
CARDIOVASCULAR,33212,TOTAL,325 ,"$113,857.44 ","$88,958.66 ",
CARDIOVASCULAR,33213,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33213,OTHER,"1,154 ","$496,981.37 ","$385,955.06 ",
CARDIOVASCULAR,33213,TOTAL,"1,154 ","$496,981.37 ","$385,955.06 ",
CARDIOVASCULAR,33214,80S,N/A,$208.38 ,$159.89 ,
CARDIOVASCULAR,33214,OTHER,329 ,"$221,970.23 ","$172,518.97 ",
CARDIOVASCULAR,33214,TOTAL,333 ,"$222,178.61 ","$172,678.86 ",
CARDIOVASCULAR,33215,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33215,OTHER,"3,337 ","$952,239.64 ","$746,478.32 ",
CARDIOVASCULAR,33215,TOTAL,"3,337 ","$952,239.64 ","$746,478.32 ",
CARDIOVASCULAR,33216,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33216,OTHER,"3,896 ","$1,450,904.78 ","$1,136,865.84 ",
CARDIOVASCULAR,33216,TOTAL,"3,896 ","$1,450,904.78 ","$1,136,865.84 ",
CARDIOVASCULAR,33217,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33217,OTHER,594 ,"$201,065.86 ","$157,505.29 ",
CARDIOVASCULAR,33217,TOTAL,594 ,"$201,065.86 ","$157,505.29 ",
CARDIOVASCULAR,33218,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33218,OTHER,383 ,"$132,854.87 ","$103,900.75 ",
CARDIOVASCULAR,33218,TOTAL,383 ,"$132,854.87 ","$103,900.75 ",
CARDIOVASCULAR,33220,OTHER,84 ,"$30,858.17 ","$23,766.67 ",
CARDIOVASCULAR,33220,TOTAL,84 ,"$30,858.17 ","$23,766.67 ",
CARDIOVASCULAR,33221,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33221,OTHER,276 ,"$160,867.58 ","$126,182.03 ",
CARDIOVASCULAR,33221,TOTAL,276 ,"$160,867.58 ","$126,182.03 ",
CARDIOVASCULAR,33222,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33222,OTHER,"1,815 ","$456,371.62 ","$356,403.27 ",
CARDIOVASCULAR,33222,TOTAL,"1,815 ","$456,371.62 ","$356,403.27 ",
CARDIOVASCULAR,33223,80S,N/A,$427.86 ,$336.99 ,
CARDIOVASCULAR,33223,OTHER,"1,166 ","$471,606.52 ","$369,541.58 ",
CARDIOVASCULAR,33223,TOTAL,"1,173 ","$472,034.38 ","$369,878.57 ",
CARDIOVASCULAR,33224,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33224,OTHER,"1,300 ","$664,346.21 ","$520,137.61 ",
CARDIOVASCULAR,33224,TOTAL,"1,300 ","$664,346.21 ","$520,137.61 ",
CARDIOVASCULAR,33225,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33225,SG,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33225,OTHER,"33,838 ","$16,526,822.89 ","$13,029,198.32 ",
CARDIOVASCULAR,33225,TOTAL,"33,838 ","$16,526,822.89 ","$13,029,198.32 ",
CARDIOVASCULAR,33226,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33226,OTHER,281 ,"$140,228.71 ","$109,504.87 ",
CARDIOVASCULAR,33226,TOTAL,281 ,"$140,228.71 ","$109,504.87 ",
CARDIOVASCULAR,33227,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33227,OTHER,"3,515 ","$1,860,101.25 ","$1,449,747.47 ",
CARDIOVASCULAR,33227,TOTAL,"3,515 ","$1,860,101.25 ","$1,449,747.47 ",
CARDIOVASCULAR,33228,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33228,SG,N/A,"$8,735.12 ","$6,848.34 ",
CARDIOVASCULAR,33228,OTHER,"24,607 ","$15,421,252.16 ","$12,010,245.40 ",
CARDIOVASCULAR,33228,TOTAL,"24,608 ","$15,429,987.28 ","$12,017,093.74 ",
CARDIOVASCULAR,33229,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33229,OTHER,"5,687 ","$4,569,705.86 ","$3,576,480.34 ",
CARDIOVASCULAR,33229,TOTAL,"5,687 ","$4,569,705.86 ","$3,576,480.34 ",
CARDIOVASCULAR,33230,OTHER,151 ,"$129,850.87 ","$101,573.27 ",
CARDIOVASCULAR,33230,TOTAL,151 ,"$129,850.87 ","$101,573.27 ",
CARDIOVASCULAR,33231,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33231,OTHER,123 ,"$70,506.00 ","$55,369.69 ",
CARDIOVASCULAR,33231,TOTAL,123 ,"$70,506.00 ","$55,369.69 ",
CARDIOVASCULAR,33233,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33233,OTHER,"8,852 ","$1,782,307.62 ","$1,402,158.98 ",
CARDIOVASCULAR,33233,TOTAL,"8,852 ","$1,782,307.62 ","$1,402,158.98 ",
CARDIOVASCULAR,33234,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33234,OTHER,"2,801 ","$1,090,398.59 ","$859,157.74 ",
CARDIOVASCULAR,33234,TOTAL,"2,801 ","$1,090,398.59 ","$859,157.74 ",
CARDIOVASCULAR,33235,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33235,SG,N/A,"$1,553.95 ","$1,218.30 ",
CARDIOVASCULAR,33235,OTHER,"4,102 ","$2,406,488.84 ","$1,893,750.00 ",
CARDIOVASCULAR,33235,TOTAL,"4,103 ","$2,408,042.79 ","$1,894,968.30 ",
CARDIOVASCULAR,33236,80S,N/A,$53.36 ,$41.84 ,
CARDIOVASCULAR,33236,OTHER,15 ,"$8,712.87 ","$6,901.38 ",
CARDIOVASCULAR,33236,TOTAL,16 ,"$8,766.23 ","$6,943.22 ",
CARDIOVASCULAR,33237,80S,N/A,$585.45 ,$461.74 ,
CARDIOVASCULAR,33237,OTHER,49 ,"$27,175.10 ","$21,056.02 ",
CARDIOVASCULAR,33237,TOTAL,56 ,"$27,760.55 ","$21,517.76 ",
CARDIOVASCULAR,33238,80S,11 ,$954.02 ,$755.16 ,
CARDIOVASCULAR,33238,OTHER,94 ,"$56,970.56 ","$44,834.59 ",
CARDIOVASCULAR,33238,TOTAL,105 ,"$57,924.58 ","$45,589.75 ",
CARDIOVASCULAR,33240,OTHER,224 ,"$98,628.45 ","$76,665.94 ",
CARDIOVASCULAR,33240,TOTAL,224 ,"$98,628.45 ","$76,665.94 ",
CARDIOVASCULAR,33241,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33241,OTHER,"6,153 ","$863,112.49 ","$678,558.28 ",
CARDIOVASCULAR,33241,TOTAL,"6,153 ","$863,112.49 ","$678,558.28 ",
CARDIOVASCULAR,33243,80S,77 ,"$10,039.55 ","$7,922.24 ",
CARDIOVASCULAR,33243,OTHER,250 ,"$228,331.92 ","$178,610.61 ",
CARDIOVASCULAR,33243,TOTAL,327 ,"$238,371.47 ","$186,532.85 ",
CARDIOVASCULAR,33244,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33244,OTHER,"4,107 ","$3,121,736.11 ","$2,456,896.10 ",
CARDIOVASCULAR,33244,TOTAL,"4,107 ","$3,121,736.11 ","$2,456,896.10 ",
CARDIOVASCULAR,33249,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33249,OTHER,"43,636 ","$65,930,152.08 ","$51,702,555.11 ",
CARDIOVASCULAR,33249,TOTAL,"43,636 ","$65,930,152.08 ","$51,702,555.11 ",
CARDIOVASCULAR,33250,80S,N/A,$547.02 ,$435.21 ,
CARDIOVASCULAR,33250,OTHER,17 ,"$24,082.48 ","$19,089.72 ",
CARDIOVASCULAR,33250,TOTAL,21 ,"$24,629.50 ","$19,524.93 ",
CARDIOVASCULAR,33251,80S,N/A,"$1,156.69 ",$914.11 ,
CARDIOVASCULAR,33251,OTHER,21 ,"$22,313.54 ","$17,654.15 ",
CARDIOVASCULAR,33251,TOTAL,30 ,"$23,470.23 ","$18,568.26 ",
CARDIOVASCULAR,33254,80S,38 ,"$7,686.77 ","$6,067.57 ",
CARDIOVASCULAR,33254,OTHER,79 ,"$108,305.38 ","$85,716.15 ",
CARDIOVASCULAR,33254,TOTAL,117 ,"$115,992.15 ","$91,783.72 ",
CARDIOVASCULAR,33255,80S,31 ,"$7,506.62 ","$5,864.61 ",
CARDIOVASCULAR,33255,OTHER,87 ,"$146,641.41 ","$114,629.43 ",
CARDIOVASCULAR,33255,TOTAL,118 ,"$154,148.03 ","$120,494.04 ",
CARDIOVASCULAR,33256,80S,31 ,"$9,137.06 ","$7,228.01 ",
CARDIOVASCULAR,33256,OTHER,60 ,"$123,424.43 ","$96,569.39 ",
CARDIOVASCULAR,33256,TOTAL,91 ,"$132,561.49 ","$103,797.40 ",
CARDIOVASCULAR,33257,80S,"2,048 ","$175,897.77 ","$138,073.11 ",
CARDIOVASCULAR,33257,OTHER,"3,525 ","$2,121,927.55 ","$1,668,303.93 ",
CARDIOVASCULAR,33257,TOTAL,"5,573 ","$2,297,825.32 ","$1,806,377.04 ",
CARDIOVASCULAR,33258,80S,26 ,"$2,399.92 ","$1,887.73 ",
CARDIOVASCULAR,33258,OTHER,42 ,"$28,106.98 ","$21,587.37 ",
CARDIOVASCULAR,33258,TOTAL,68 ,"$30,506.90 ","$23,475.10 ",
CARDIOVASCULAR,33259,80S,"2,196 ","$274,224.47 ","$215,822.48 ",
CARDIOVASCULAR,33259,OTHER,"3,913 ","$3,440,022.95 ","$2,715,659.16 ",
CARDIOVASCULAR,33259,TOTAL,"6,109 ","$3,714,247.42 ","$2,931,481.64 ",
CARDIOVASCULAR,33261,80S,N/A,$498.69 ,$391.66 ,
CARDIOVASCULAR,33261,OTHER,20 ,"$21,279.29 ","$16,860.21 ",
CARDIOVASCULAR,33261,TOTAL,24 ,"$21,777.98 ","$17,251.87 ",
CARDIOVASCULAR,33262,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33262,OTHER,"3,046 ","$2,406,178.21 ","$1,840,784.83 ",
CARDIOVASCULAR,33262,TOTAL,"3,046 ","$2,406,178.21 ","$1,840,784.83 ",
CARDIOVASCULAR,33263,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33263,SG,N/A,"$18,852.78 ","$14,780.58 ",
CARDIOVASCULAR,33263,OTHER,"8,218 ","$8,747,518.87 ","$6,764,112.14 ",
CARDIOVASCULAR,33263,TOTAL,"8,219 ","$8,766,371.65 ","$6,778,892.72 ",
CARDIOVASCULAR,33264,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33264,OTHER,"12,239 ","$17,105,163.60 ","$13,286,068.79 ",
CARDIOVASCULAR,33264,TOTAL,"12,239 ","$17,105,163.60 ","$13,286,068.79 ",
CARDIOVASCULAR,33265,80S,143 ,"$27,574.58 ","$21,357.53 ",
CARDIOVASCULAR,33265,OTHER,268 ,"$368,133.04 ","$288,833.65 ",
CARDIOVASCULAR,33265,TOTAL,411 ,"$395,707.62 ","$310,191.18 ",
CARDIOVASCULAR,33266,80S,284 ,"$74,904.11 ","$58,765.19 ",
CARDIOVASCULAR,33266,OTHER,449 ,"$841,849.87 ","$661,453.05 ",
CARDIOVASCULAR,33266,TOTAL,733 ,"$916,753.98 ","$720,218.24 ",
CARDIOVASCULAR,33270,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33270,OTHER,"1,309 ","$927,135.04 ","$705,311.08 ",
CARDIOVASCULAR,33270,TOTAL,"1,309 ","$927,135.04 ","$705,311.08 ",
CARDIOVASCULAR,33271,OTHER,27 ,"$11,633.48 ","$8,839.18 ",
CARDIOVASCULAR,33271,TOTAL,27 ,"$11,633.48 ","$8,839.18 ",
CARDIOVASCULAR,33272,OTHER,150 ,"$40,253.62 ","$31,796.89 ",
CARDIOVASCULAR,33272,TOTAL,150 ,"$40,253.62 ","$31,796.89 ",
CARDIOVASCULAR,33273,OTHER,24 ,"$8,101.68 ","$6,434.82 ",
CARDIOVASCULAR,33273,TOTAL,24 ,"$8,101.68 ","$6,434.82 ",
CARDIOVASCULAR,33274,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33274,OTHER,"7,286 ","$3,375,342.67 ","$2,667,487.04 ",
CARDIOVASCULAR,33274,TOTAL,"7,286 ","$3,375,342.67 ","$2,667,487.04 ",
CARDIOVASCULAR,33275,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33275,OTHER,41 ,"$18,336.17 ","$14,535.65 ",
CARDIOVASCULAR,33275,TOTAL,41 ,"$18,336.17 ","$14,535.65 ",
CARDIOVASCULAR,33285,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33285,SG,N/A,"$32,056.63 ","$25,132.39 ",
CARDIOVASCULAR,33285,OTHER,"59,258 ","$63,469,974.18 ","$49,768,410.88 ",
CARDIOVASCULAR,33285,TOTAL,"59,263 ","$63,502,030.81 ","$49,793,543.27 ",
CARDIOVASCULAR,33286,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33286,SG,N/A,$547.10 ,$428.93 ,
CARDIOVASCULAR,33286,OTHER,"17,900 ","$1,451,146.92 ","$1,113,496.15 ",
CARDIOVASCULAR,33286,TOTAL,"17,902 ","$1,451,694.02 ","$1,113,925.08 ",
CARDIOVASCULAR,33289,80S,N/A,$255.45 ,$203.72 ,
CARDIOVASCULAR,33289,OTHER,"2,435 ","$828,701.51 ","$653,193.08 ",
CARDIOVASCULAR,33289,TOTAL,"2,440 ","$828,956.96 ","$653,396.80 ",
CARDIOVASCULAR,33300,80S,98 ,"$35,286.65 ","$27,890.41 ",
CARDIOVASCULAR,33300,OTHER,250 ,"$612,945.30 ","$482,092.29 ",
CARDIOVASCULAR,33300,TOTAL,348 ,"$648,231.95 ","$509,982.70 ",
CARDIOVASCULAR,33305,80S,91 ,"$57,216.07 ","$44,622.72 ",
CARDIOVASCULAR,33305,OTHER,173 ,"$711,322.48 ","$549,193.04 ",
CARDIOVASCULAR,33305,TOTAL,264 ,"$768,538.55 ","$593,815.76 ",
CARDIOVASCULAR,33310,80S,14 ,"$2,252.19 ","$1,768.58 ",
CARDIOVASCULAR,33310,OTHER,47 ,"$51,143.17 ","$40,473.04 ",
CARDIOVASCULAR,33310,TOTAL,61 ,"$53,395.36 ","$42,241.62 ",
CARDIOVASCULAR,33315,80S,102 ,"$24,783.76 ","$19,442.11 ",
CARDIOVASCULAR,33315,OTHER,182 ,"$286,488.39 ","$226,748.65 ",
CARDIOVASCULAR,33315,TOTAL,284 ,"$311,272.15 ","$246,190.76 ",
CARDIOVASCULAR,33320,80S,32 ,"$3,853.55 ","$3,041.74 ",
CARDIOVASCULAR,33320,OTHER,102 ,"$86,354.39 ","$68,229.86 ",
CARDIOVASCULAR,33320,TOTAL,134 ,"$90,207.94 ","$71,271.60 ",
CARDIOVASCULAR,33321,OTHER,N/A,"$2,542.80 ","$2,007.15 ",
CARDIOVASCULAR,33321,TOTAL,N/A,"$2,542.80 ","$2,007.15 ",
CARDIOVASCULAR,33322,80S,54 ,"$7,138.43 ","$5,530.28 ",
CARDIOVASCULAR,33322,OTHER,108 ,"$98,415.89 ","$77,778.95 ",
CARDIOVASCULAR,33322,TOTAL,162 ,"$105,554.32 ","$83,309.23 ",
CARDIOVASCULAR,33330,80S,N/A,$917.49 ,$728.91 ,
CARDIOVASCULAR,33330,OTHER,21 ,"$22,897.40 ","$18,081.97 ",
CARDIOVASCULAR,33330,TOTAL,27 ,"$23,814.89 ","$18,810.88 ",
CARDIOVASCULAR,33335,80S,29 ,"$5,278.44 ","$4,162.81 ",
CARDIOVASCULAR,33335,OTHER,49 ,"$55,738.69 ","$44,185.33 ",
CARDIOVASCULAR,33335,TOTAL,78 ,"$61,017.13 ","$48,348.14 ",
CARDIOVASCULAR,33340,80S,139 ,"$17,168.07 ","$13,644.21 ",
CARDIOVASCULAR,33340,OTHER,"20,412 ","$14,605,232.00 ","$11,540,168.80 ",
CARDIOVASCULAR,33340,TOTAL,"20,551 ","$14,622,400.07 ","$11,553,813.01 ",
CARDIOVASCULAR,33361,80S,66 ,"$8,969.04 ","$7,019.31 ",
CARDIOVASCULAR,33361,OTHER,"82,640 ","$73,880,916.17 ","$58,320,713.90 ",
CARDIOVASCULAR,33361,TOTAL,"82,706 ","$73,889,885.21 ","$58,327,733.21 ",
CARDIOVASCULAR,33362,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33362,OTHER,"3,770 ","$3,597,801.13 ","$2,840,235.82 ",
CARDIOVASCULAR,33362,TOTAL,"3,770 ","$3,597,801.13 ","$2,840,235.82 ",
CARDIOVASCULAR,33363,80S,N/A,$146.09 ,$116.03 ,
CARDIOVASCULAR,33363,OTHER,"1,954 ","$1,941,946.83 ","$1,537,491.31 ",
CARDIOVASCULAR,33363,TOTAL,"1,955 ","$1,942,092.92 ","$1,537,607.34 ",
CARDIOVASCULAR,33364,OTHER,27 ,"$27,048.53 ","$21,466.41 ",
CARDIOVASCULAR,33364,TOTAL,27 ,"$27,048.53 ","$21,466.41 ",
CARDIOVASCULAR,33365,80S,N/A,$346.23 ,$275.89 ,
CARDIOVASCULAR,33365,OTHER,505 ,"$578,814.35 ","$457,455.26 ",
CARDIOVASCULAR,33365,TOTAL,507 ,"$579,160.58 ","$457,731.15 ",
CARDIOVASCULAR,33366,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33366,OTHER,320 ,"$404,088.32 ","$318,689.06 ",
CARDIOVASCULAR,33366,TOTAL,320 ,"$404,088.32 ","$318,689.06 ",
CARDIOVASCULAR,33367,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33367,OTHER,119 ,"$77,882.88 ","$60,554.82 ",
CARDIOVASCULAR,33367,TOTAL,119 ,"$77,882.88 ","$60,554.82 ",
CARDIOVASCULAR,33368,80S,N/A,$0.00 ,$0.00 ,
CARDIOVASCULAR,33368,OTHER,18 ,"$14,059.12 ","$11,144.56 ",
CARDIOVASCULAR,33368,TOTAL,18 ,"$14,059.12 ","$11,144.56 ",
CARDIOVASCULAR,33369,80S,N/A,$767.07 ,$607.68 ,
CARDIOVASCULAR,33369,OTHER,14 ,"$14,715.16 ","$11,682.95 ",
CARDIOVASCULAR,33369,TOTAL,19 ,"$15,482.23 ","$12,290.63 ",
CARDIOVASCULAR,33390,80S,105 ,"$19,621.55 ","$15,218.94 ",
CARDIOVASCULAR,33390,OTHER,278 ,"$385,515.26 ","$302,874.54 ",
CARDIOVASCULAR,33390,TOTAL,383 ,"$405,136.81 ","$318,093.48 ",
CARDIOVASCULAR,33391,80S,50 ,"$11,832.57 ","$9,375.81 ",
CARDIOVASCULAR,33391,OTHER,106 ,"$163,825.57 ","$128,639.10 ",
CARDIOVASCULAR,33391,TOTAL,156 ,"$175,658.14 ","$138,014.91 ",
CARDIOVASCULAR,33404,80S,N/A,$428.75 ,$341.31 ,
CARDIOVASCULAR,33404,OTHER,N/A,"$4,485.67 ","$3,534.31 ",
CARDIOVASCULAR,33404,TOTAL,N/A,"$4,914.42 ","$3,875.62 ",
CARDIOVASCULAR,33405,80S,"10,077 ","$2,965,916.95 ","$2,321,931.37 ",
CARDIOVASCULAR,33405,OTHER,"17,124 ","$35,326,344.06 ","$27,762,701.34 ",
CARDIOVASCULAR,33405,TOTAL,"27,201 ","$38,292,261.01 ","$30,084,632.71 ",
CARDIOVASCULAR,33406,80S,31 ,"$11,673.68 ","$9,241.98 ",
CARDIOVASCULAR,33406,OTHER,60 ,"$161,868.87 ","$126,740.93 ",
CARDIOVASCULAR,33406,TOTAL,91 ,"$173,542.55 ","$135,982.91 ",
CARDIOVASCULAR,33410,80S,236 ,"$81,454.59 ","$63,862.46 ",
CARDIOVASCULAR,33410,OTHER,416 ,"$1,003,856.42 ","$791,647.82 ",
CARDIOVASCULAR,33410,TOTAL,652 ,"$1,085,311.01 ","$855,510.28 ",
CARDIOVASCULAR,33411,80S,549 ,"$274,544.49 ","$215,185.71 ",
CARDIOVASCULAR,33411,OTHER,876 ,"$3,052,155.36 ","$2,402,705.90 ",
CARDIOVASCULAR,33411,TOTAL,"1,425 ","$3,326,699.85 ","$2,617,891.61 ",
CARDIOVASCULAR,33412,80S,N/A,"$4,419.42 ","$3,494.00 ",
CARDIOVASCULAR,33412,OTHER,24 ,"$74,666.40 ","$56,523.73 ",
CARDIOVASCULAR,33412,TOTAL,33 ,"$79,085.82 ","$60,017.73 ",
CARDIOVASCULAR,33413,80S,N/A,$492.79 ,$393.53 ,
CARDIOVASCULAR,33413,OTHER,N/A,"$16,754.94 ","$13,242.38 ",
CARDIOVASCULAR,33413,TOTAL,N/A,"$17,247.73 ","$13,635.91 ",
CARDIOVASCULAR,33414,80S,21 ,"$4,025.94 ","$3,189.93 ",
CARDIOVASCULAR,33414,OTHER,50 ,"$64,049.11 ","$50,724.37 ",
CARDIOVASCULAR,33414,TOTAL,71 ,"$68,075.05 ","$53,914.30 ",
CARDIOVASCULAR,33415,80S,50 ,"$9,200.34 ","$7,254.61 ",
CARDIOVASCULAR,33415,OTHER,116 ,"$150,611.83 ","$119,358.35 ",
CARDIOVASCULAR,33415,TOTAL,166 ,"$159,812.17 ","$126,612.96 ",
CARDIOVASCULAR,33416,80S,319 ,"$60,367.26 ","$47,554.77 ",
CARDIOVASCULAR,33416,OTHER,828 ,"$1,109,787.06 ","$874,244.69 ",
CARDIOVASCULAR,33416,TOTAL,"1,147 ","$1,170,154.32 ","$921,799.46 ",
CARDIOVASCULAR,33417,80S,19 ,"$2,410.58 ","$1,905.28 ",
CARDIOVASCULAR,33417,OTHER,68 ,"$64,065.51 ","$50,063.00 ",
CARDIOVASCULAR,33417,TOTAL,87 ,"$66,476.09 ","$51,968.28 ",
CARDIOVASCULAR,33418,80S,518 ,"$152,653.70 ","$120,406.94 ",
