CPT only copyright 2014 American Medical Association. All rights reserved.,,,,,,,,
,,,,,,,,
"""2014 Part B National Summary Data File
Code Range: 02) Surgery (10000 - 69999)"" ",,,,,,,,
This data table begins with column headers on row 5 and data cells are A-6 through F-18000,,,,,,,,
CARDIOVASCULAR,33213,SG,N/A,"$8,132.52","$6,375.90",,,
CARDIOVASCULAR,33213,OTHER,3486,"$1,270,360.85","$987,733.40",,,
CARDIOVASCULAR,33213,TOTAL,3487,"$1,278,493.37","$994,109.30",,,
CARDIOVASCULAR,33214,80S,N/A,$174.06,$136.45,,,
CARDIOVASCULAR,33214,OTHER,493,"$221,362.78","$171,499.58",,,
CARDIOVASCULAR,33214,TOTAL,496,"$221,536.84","$171,636.03",,,
CARDIOVASCULAR,33215,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33215,SG,N/A,$904.98,$709.50,,,
CARDIOVASCULAR,33215,OTHER,4063,"$1,074,893.35","$835,632.15",,,
CARDIOVASCULAR,33215,TOTAL,4064,"$1,075,798.33","$836,341.65",,,
CARDIOVASCULAR,33216,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33216,SG,N/A,"$5,845.33","$4,582.74",,,
CARDIOVASCULAR,33216,OTHER,4720,"$1,403,466.94","$1,087,782.10",,,
CARDIOVASCULAR,33216,TOTAL,4723,"$1,409,312.27","$1,092,364.84",,,
CARDIOVASCULAR,33217,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33217,OTHER,1201,"$344,872.42","$267,966.58",,,
CARDIOVASCULAR,33217,TOTAL,1201,"$344,872.42","$267,966.58",,,
CARDIOVASCULAR,33218,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33218,OTHER,768,"$255,631.87","$197,988.76",,,
CARDIOVASCULAR,33218,TOTAL,768,"$255,631.87","$197,988.76",,,
CARDIOVASCULAR,33220,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33220,OTHER,130,"$46,608.97","$35,892.54",,,
CARDIOVASCULAR,33220,TOTAL,130,"$46,608.97","$35,892.54",,,
CARDIOVASCULAR,33221,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33221,OTHER,396,"$139,884.17","$108,101.38",,,
CARDIOVASCULAR,33221,TOTAL,396,"$139,884.17","$108,101.38",,,
CARDIOVASCULAR,33222,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33222,SG,N/A,$849.01,$665.63,,,
CARDIOVASCULAR,33222,OTHER,1413,"$427,137.77","$331,993.17",,,
CARDIOVASCULAR,33222,TOTAL,1414,"$427,986.78","$332,658.80",,,
CARDIOVASCULAR,33223,80S,11,$563.10,$441.48,,,
CARDIOVASCULAR,33223,SG,N/A,$822.73,$645.02,,,
CARDIOVASCULAR,33223,OTHER,1297,"$510,446.70","$395,552.80",,,
CARDIOVASCULAR,33223,TOTAL,1309,"$511,832.53","$396,639.30",,,
CARDIOVASCULAR,33224,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33224,SG,N/A,"$10,407.78","$8,159.70",,,
CARDIOVASCULAR,33224,OTHER,1946,"$855,578.45","$665,143.76",,,
CARDIOVASCULAR,33224,TOTAL,1947,"$865,986.23","$673,303.46",,,
CARDIOVASCULAR,33225,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33225,SG,N/A,"$19,961.28","$15,649.64",,,
CARDIOVASCULAR,33225,OTHER,32191,"$15,366,473.83","$11,980,145.80",,,
CARDIOVASCULAR,33225,TOTAL,32193,"$15,386,435.11","$11,995,795.44",,,
CARDIOVASCULAR,33226,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33226,OTHER,546,"$261,248.04","$203,380.37",,,
CARDIOVASCULAR,33226,TOTAL,546,"$261,248.04","$203,380.37",,,
CARDIOVASCULAR,33227,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33227,SG,N/A,"$6,738.26","$5,282.80",,,
CARDIOVASCULAR,33227,OTHER,7750,"$3,088,576.17","$2,391,010.85",,,
CARDIOVASCULAR,33227,TOTAL,7751,"$3,095,314.43","$2,396,293.65",,,
CARDIOVASCULAR,33228,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33228,SG,30,"$223,255.97","$174,901.13",,,
CARDIOVASCULAR,33228,OTHER,38016,"$16,653,696.71","$12,900,712.30",,,
CARDIOVASCULAR,33228,TOTAL,38046,"$16,876,952.68","$13,075,613.43",,,
CARDIOVASCULAR,33229,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33229,OTHER,3144,"$1,252,799.56","$971,887.00",,,
CARDIOVASCULAR,33229,TOTAL,3144,"$1,252,799.56","$971,887.00",,,
CARDIOVASCULAR,33230,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33230,OTHER,300,"$196,185.73","$152,627.11",,,
CARDIOVASCULAR,33230,TOTAL,300,"$196,185.73","$152,627.11",,,
CARDIOVASCULAR,33231,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33231,OTHER,220,"$126,601.94","$97,579.24",,,
CARDIOVASCULAR,33231,TOTAL,220,"$126,601.94","$97,579.24",,,
CARDIOVASCULAR,33233,80S,N/A,$18.24,$14.30,,,
CARDIOVASCULAR,33233,SG,N/A,"$4,128.51","$3,236.76",,,
CARDIOVASCULAR,33233,OTHER,9619,"$1,317,045.16","$1,024,711.92",,,
CARDIOVASCULAR,33233,TOTAL,9623,"$1,321,191.91","$1,027,962.98",,,
CARDIOVASCULAR,33234,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33234,SG,N/A,"$2,752.34","$2,157.84",,,
CARDIOVASCULAR,33234,OTHER,2908,"$1,111,001.19","$865,570.11",,,
CARDIOVASCULAR,33234,TOTAL,2910,"$1,113,753.53","$867,727.95",,,
CARDIOVASCULAR,33235,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33235,SG,N/A,"$2,572.97","$2,017.21",,,
CARDIOVASCULAR,33235,OTHER,3502,"$2,034,041.77","$1,584,510.41",,,
CARDIOVASCULAR,33235,TOTAL,3504,"$2,036,614.74","$1,586,527.62",,,
CARDIOVASCULAR,33236,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33236,OTHER,18,"$12,634.53","$9,905.47",,,
CARDIOVASCULAR,33236,TOTAL,18,"$12,634.53","$9,905.47",,,
CARDIOVASCULAR,33237,80S,N/A,$78.02,$61.17,,,
CARDIOVASCULAR,33237,OTHER,41,"$27,716.63","$21,729.85",,,
CARDIOVASCULAR,33237,TOTAL,42,"$27,794.65","$21,791.02",,,
CARDIOVASCULAR,33238,80S,12,"$1,255.86",$984.57,,,
CARDIOVASCULAR,33238,OTHER,110,"$73,759.21","$57,827.37",,,
CARDIOVASCULAR,33238,TOTAL,122,"$75,015.07","$58,811.94",,,
CARDIOVASCULAR,33240,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33240,SG,N/A,"$24,594.36","$19,281.98",,,
CARDIOVASCULAR,33240,OTHER,871,"$311,197.05","$240,956.47",,,
CARDIOVASCULAR,33240,TOTAL,872,"$335,791.41","$260,238.45",,,
CARDIOVASCULAR,33241,80S,N/A,$33.16,$29.19,,,
CARDIOVASCULAR,33241,SG,N/A,"$2,752.34","$2,157.84",,,
CARDIOVASCULAR,33241,OTHER,8281,"$1,055,526.97","$819,186.24",,,
CARDIOVASCULAR,33241,TOTAL,8285,"$1,058,312.47","$821,373.27",,,
CARDIOVASCULAR,33243,80S,116,"$14,289.28","$11,099.30",,,
CARDIOVASCULAR,33243,OTHER,327,"$305,386.35","$237,630.27",,,
CARDIOVASCULAR,33243,TOTAL,443,"$319,675.63","$248,729.57",,,
CARDIOVASCULAR,33244,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33244,OTHER,5310,"$3,865,102.32","$3,000,948.56",,,
CARDIOVASCULAR,33244,TOTAL,5310,"$3,865,102.32","$3,000,948.56",,,
CARDIOVASCULAR,33249,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33249,SG,17,"$532,238.66","$417,275.10",,,
CARDIOVASCULAR,33249,OTHER,49668,"$49,025,917.75","$38,175,475.71",,,
CARDIOVASCULAR,33249,TOTAL,49685,"$49,558,156.41","$38,592,750.81",,,
CARDIOVASCULAR,33250,80S,N/A,$530.49,$415.91,,,
CARDIOVASCULAR,33250,OTHER,13,"$16,511.45","$12,944.98",,,
CARDIOVASCULAR,33250,TOTAL,16,"$17,041.94","$13,360.89",,,
CARDIOVASCULAR,33251,80S,28,"$3,504.32","$2,747.42",,,
CARDIOVASCULAR,33251,OTHER,44,"$43,766.17","$34,312.68",,,
CARDIOVASCULAR,33251,TOTAL,72,"$47,270.49","$37,060.10",,,
CARDIOVASCULAR,33254,80S,26,"$4,993.37","$3,914.84",,,
CARDIOVASCULAR,33254,OTHER,45,"$63,264.44","$48,019.26",,,
CARDIOVASCULAR,33254,TOTAL,71,"$68,257.81","$51,934.10",,,
CARDIOVASCULAR,33255,80S,11,"$2,837.53","$2,224.61",,,
CARDIOVASCULAR,33255,OTHER,72,"$124,226.73","$97,358.89",,,
CARDIOVASCULAR,33255,TOTAL,83,"$127,064.26","$99,583.50",,,
CARDIOVASCULAR,33256,80S,26,"$7,814.08","$6,126.24",,,
CARDIOVASCULAR,33256,OTHER,72,"$145,671.89","$112,704.80",,,
CARDIOVASCULAR,33256,TOTAL,98,"$153,485.97","$118,831.04",,,
CARDIOVASCULAR,33257,80S,2176,"$189,934.23","$148,439.51",,,
CARDIOVASCULAR,33257,OTHER,3505,"$2,117,200.20","$1,651,197.77",,,
CARDIOVASCULAR,33257,TOTAL,5681,"$2,307,134.43","$1,799,637.28",,,
CARDIOVASCULAR,33258,80S,59,"$5,505.20","$4,316.15",,,
CARDIOVASCULAR,33258,OTHER,69,"$46,505.25","$35,989.76",,,
CARDIOVASCULAR,33258,TOTAL,128,"$52,010.45","$40,305.91",,,
CARDIOVASCULAR,33259,80S,2642,"$336,332.79","$262,654.08",,,
CARDIOVASCULAR,33259,OTHER,4528,"$3,994,594.96","$3,115,119.34",,,
CARDIOVASCULAR,33259,TOTAL,7170,"$4,330,927.75","$3,377,773.42",,,
CARDIOVASCULAR,33261,80S,N/A,"$1,101.83",$863.82,,,
CARDIOVASCULAR,33261,OTHER,35,"$37,261.20","$29,212.75",,,
CARDIOVASCULAR,33261,TOTAL,43,"$38,363.03","$30,076.57",,,
CARDIOVASCULAR,33262,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33262,OTHER,4663,"$2,250,852.62","$1,734,057.28",,,
CARDIOVASCULAR,33262,TOTAL,4663,"$2,250,852.62","$1,734,057.28",,,
CARDIOVASCULAR,33263,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33263,SG,N/A,"$135,592.20","$106,304.28",,,
CARDIOVASCULAR,33263,OTHER,12855,"$7,629,829.03","$5,873,048.22",,,
CARDIOVASCULAR,33263,TOTAL,12861,"$7,765,421.23","$5,979,352.50",,,
CARDIOVASCULAR,33264,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33264,SG,N/A,"$188,295.54","$147,623.71",,,
CARDIOVASCULAR,33264,OTHER,17587,"$9,831,985.91","$7,617,401.39",,,
CARDIOVASCULAR,33264,TOTAL,17595,"$10,020,281.45","$7,765,025.10",,,
CARDIOVASCULAR,33265,80S,51,"$9,361.03","$7,339.00",,,
CARDIOVASCULAR,33265,OTHER,137,"$184,909.15","$144,824.15",,,
CARDIOVASCULAR,33265,TOTAL,188,"$194,270.18","$152,163.15",,,
CARDIOVASCULAR,33266,80S,190,"$52,770.42","$40,692.45",,,
CARDIOVASCULAR,33266,OTHER,365,"$693,412.48","$539,397.54",,,
CARDIOVASCULAR,33266,TOTAL,555,"$746,182.90","$580,089.99",,,
CARDIOVASCULAR,33282,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33282,SG,12,"$71,402.82","$55,864.60",,,
CARDIOVASCULAR,33282,OTHER,22002,"$6,476,335.56","$5,022,202.45",,,
CARDIOVASCULAR,33282,TOTAL,22014,"$6,547,738.38","$5,078,067.05",,,
CARDIOVASCULAR,33284,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33284,SG,N/A,"$1,366.45","$1,071.29",,,
CARDIOVASCULAR,33284,OTHER,5693,"$968,399.50","$742,153.41",,,
CARDIOVASCULAR,33284,TOTAL,5695,"$969,765.95","$743,224.70",,,
CARDIOVASCULAR,33300,80S,76,"$27,999.10","$21,951.31",,,
CARDIOVASCULAR,33300,OTHER,224,"$542,336.50","$423,202.40",,,
CARDIOVASCULAR,33300,TOTAL,300,"$570,335.60","$445,153.71",,,
CARDIOVASCULAR,33305,80S,108,"$67,648.88","$53,322.64",,,
CARDIOVASCULAR,33305,OTHER,213,"$871,613.65","$683,571.57",,,
CARDIOVASCULAR,33305,TOTAL,321,"$939,262.53","$736,894.21",,,
CARDIOVASCULAR,33310,80S,19,"$3,262.92","$2,558.11",,,
CARDIOVASCULAR,33310,OTHER,43,"$41,651.03","$31,772.63",,,
CARDIOVASCULAR,33310,TOTAL,62,"$44,913.95","$34,330.74",,,
CARDIOVASCULAR,33315,80S,162,"$33,566.02","$26,315.82",,,
CARDIOVASCULAR,33315,OTHER,301,"$438,006.21","$341,479.14",,,
CARDIOVASCULAR,33315,TOTAL,463,"$471,572.23","$367,794.96",,,
CARDIOVASCULAR,33320,80S,29,"$3,358.27","$2,632.92",,,
CARDIOVASCULAR,33320,OTHER,117,"$95,142.84","$74,591.98",,,
CARDIOVASCULAR,33320,TOTAL,146,"$98,501.11","$77,224.90",,,
CARDIOVASCULAR,33321,80S,N/A,$92.58,$72.58,,,
CARDIOVASCULAR,33321,OTHER,N/A,"$1,278.93","$1,002.68",,,
CARDIOVASCULAR,33321,TOTAL,N/A,"$1,371.51","$1,075.26",,,
CARDIOVASCULAR,33322,80S,104,"$13,335.34","$10,495.49",,,
CARDIOVASCULAR,33322,OTHER,202,"$169,919.11","$132,657.69",,,
CARDIOVASCULAR,33322,TOTAL,306,"$183,254.45","$143,153.18",,,
CARDIOVASCULAR,33330,80S,N/A,$814.77,$638.77,,,
CARDIOVASCULAR,33330,OTHER,17,"$17,536.53","$13,748.64",,,
CARDIOVASCULAR,33330,TOTAL,23,"$18,351.30","$14,387.41",,,
CARDIOVASCULAR,33332,80S,N/A,$287.58,$225.46,,,
CARDIOVASCULAR,33332,OTHER,N/A,"$3,228.57","$2,531.20",,,
CARDIOVASCULAR,33332,TOTAL,N/A,"$3,516.15","$2,756.66",,,
CARDIOVASCULAR,33335,80S,50,"$9,717.72","$7,386.73",,,
CARDIOVASCULAR,33335,OTHER,80,"$99,195.82","$75,823.29",,,
CARDIOVASCULAR,33335,TOTAL,130,"$108,913.54","$83,210.02",,,
CARDIOVASCULAR,33361,80S,N/A,$119.48,$93.67,,,
CARDIOVASCULAR,33361,OTHER,12998,"$11,681,906.37","$9,151,681.11",,,
CARDIOVASCULAR,33361,TOTAL,12999,"$11,682,025.85","$9,151,774.78",,,
CARDIOVASCULAR,33362,80S,N/A,$134.53,$105.47,,,
CARDIOVASCULAR,33362,OTHER,6178,"$5,810,926.99","$4,551,466.09",,,
CARDIOVASCULAR,33362,TOTAL,6179,"$5,811,061.52","$4,551,571.56",,,
CARDIOVASCULAR,33363,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33363,OTHER,322,"$323,230.48","$253,314.23",,,
CARDIOVASCULAR,33363,TOTAL,322,"$323,230.48","$253,314.23",,,
CARDIOVASCULAR,33364,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33364,OTHER,142,"$140,598.81","$110,229.46",,,
CARDIOVASCULAR,33364,TOTAL,142,"$140,598.81","$110,229.46",,,
CARDIOVASCULAR,33365,80S,N/A,$507.47,$397.85,,,
CARDIOVASCULAR,33365,OTHER,2134,"$2,449,749.31","$1,918,727.18",,,
CARDIOVASCULAR,33365,TOTAL,2137,"$2,450,256.78","$1,919,125.03",,,
CARDIOVASCULAR,33366,80S,N/A,"$1,657.57","$1,299.54",,,
CARDIOVASCULAR,33366,OTHER,4543,"$5,607,046.43","$4,398,204.86",,,
CARDIOVASCULAR,33366,TOTAL,4551,"$5,608,704.00","$4,399,504.40",,,
CARDIOVASCULAR,33367,80S,N/A,$101.94,$79.92,,,
CARDIOVASCULAR,33367,OTHER,91,"$58,187.11","$45,618.78",,,
CARDIOVASCULAR,33367,TOTAL,92,"$58,289.05","$45,698.70",,,
CARDIOVASCULAR,33368,80S,N/A,$118.10,$92.59,,,
CARDIOVASCULAR,33368,OTHER,73,"$54,911.87","$43,203.59",,,
CARDIOVASCULAR,33368,TOTAL,74,"$55,029.97","$43,296.18",,,
CARDIOVASCULAR,33369,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33369,OTHER,12,"$12,680.61","$9,941.60",,,
CARDIOVASCULAR,33369,TOTAL,12,"$12,680.61","$9,941.60",,,
CARDIOVASCULAR,33400,80S,150,"$38,667.72","$30,315.45",,,
CARDIOVASCULAR,33400,OTHER,295,"$505,752.19","$393,929.26",,,
CARDIOVASCULAR,33400,TOTAL,445,"$544,419.91","$424,244.71",,,
CARDIOVASCULAR,33401,80S,N/A,$639.20,$501.13,,,
CARDIOVASCULAR,33401,OTHER,N/A,"$7,189.92","$5,636.91",,,
CARDIOVASCULAR,33401,TOTAL,11,"$7,829.12","$6,138.04",,,
CARDIOVASCULAR,33403,80S,N/A,$650.28,$509.82,,,
CARDIOVASCULAR,33403,OTHER,N/A,"$13,209.48","$10,356.22",,,
CARDIOVASCULAR,33403,TOTAL,13,"$13,859.76","$10,866.04",,,
CARDIOVASCULAR,33404,80S,N/A,$909.43,$712.98,,,
CARDIOVASCULAR,33404,OTHER,13,"$19,064.89","$14,946.90",,,
CARDIOVASCULAR,33404,TOTAL,18,"$19,974.32","$15,659.88",,,
CARDIOVASCULAR,33405,80S,18680,"$5,844,053.52","$4,562,769.30",,,
CARDIOVASCULAR,33405,OTHER,29934,"$64,805,337.46","$50,479,273.37",,,
CARDIOVASCULAR,33405,TOTAL,48614,"$70,649,390.98","$55,042,042.67",,,
CARDIOVASCULAR,33406,80S,188,"$76,474.42","$59,622.95",,,
CARDIOVASCULAR,33406,OTHER,291,"$828,835.49","$645,819.01",,,
CARDIOVASCULAR,33406,TOTAL,479,"$905,309.91","$705,441.96",,,
CARDIOVASCULAR,33410,80S,655,"$229,045.72","$179,441.02",,,
CARDIOVASCULAR,33410,OTHER,954,"$2,361,497.34","$1,841,639.39",,,
CARDIOVASCULAR,33410,TOTAL,1609,"$2,590,543.06","$2,021,080.41",,,
CARDIOVASCULAR,33411,80S,532,"$266,170.79","$209,818.30",,,
CARDIOVASCULAR,33411,OTHER,840,"$2,920,525.63","$2,285,758.70",,,
CARDIOVASCULAR,33411,TOTAL,1372,"$3,186,696.42","$2,495,577.00",,,
CARDIOVASCULAR,33412,80S,27,"$12,911.40","$10,122.61",,,
CARDIOVASCULAR,33412,OTHER,38,"$124,278.51","$97,319.02",,,
CARDIOVASCULAR,33412,TOTAL,65,"$137,189.91","$107,441.63",,,
CARDIOVASCULAR,33413,80S,N/A,"$1,554.07","$1,218.38",,,
CARDIOVASCULAR,33413,OTHER,N/A,"$33,102.33","$25,952.22",,,
CARDIOVASCULAR,33413,TOTAL,13,"$34,656.40","$27,170.60",,,
CARDIOVASCULAR,33414,80S,37,"$6,781.78","$5,316.90",,,
CARDIOVASCULAR,33414,OTHER,62,"$78,095.99","$61,227.18",,,
CARDIOVASCULAR,33414,TOTAL,99,"$84,877.77","$66,544.08",,,
CARDIOVASCULAR,33415,80S,63,"$11,189.69","$8,772.66",,,
CARDIOVASCULAR,33415,OTHER,190,"$232,540.06","$182,502.14",,,
CARDIOVASCULAR,33415,TOTAL,253,"$243,729.75","$191,274.80",,,
CARDIOVASCULAR,33416,80S,427,"$77,391.07","$60,576.08",,,
CARDIOVASCULAR,33416,OTHER,797,"$1,046,225.69","$817,462.26",,,
CARDIOVASCULAR,33416,TOTAL,1224,"$1,123,616.76","$878,038.34",,,
CARDIOVASCULAR,33417,80S,54,"$7,142.33","$5,599.58",,,
CARDIOVASCULAR,33417,OTHER,166,"$159,968.68","$125,593.97",,,
CARDIOVASCULAR,33417,TOTAL,220,"$167,111.01","$131,193.55",,,
CARDIOVASCULAR,33420,80S,N/A,$0.00,$0.00,,,
CARDIOVASCULAR,33420,OTHER,37,"$10,251.63","$8,004.98",,,
CARDIOVASCULAR,33420,TOTAL,37,"$10,251.63","$8,004.98",,,
CARDIOVASCULAR,33422,80S,28,"$4,282.16","$3,263.45",,,
CARDIOVASCULAR,33422,OTHER,52,"$56,973.09","$44,081.11",,,
CARDIOVASCULAR,33422,TOTAL,80,"$61,255.25","$47,344.56",,,
CARDIOVASCULAR,33425,80S,357,"$143,310.89","$112,775.88",,,
CARDIOVASCULAR,33425,OTHER,604,"$1,640,747.53","$1,282,942.75",,,
CARDIOVASCULAR,33425,TOTAL,961,"$1,784,058.42","$1,395,718.63",,,
CARDIOVASCULAR,33426,80S,3288,"$1,037,639.43","$808,393.52",,,
CARDIOVASCULAR,33426,OTHER,5282,"$11,428,961.03","$8,892,975.59",,,
CARDIOVASCULAR,33426,TOTAL,8570,"$12,466,600.46","$9,701,369.11",,,
CARDIOVASCULAR,33427,80S,1938,"$666,963.00","$520,061.53",,,
CARDIOVASCULAR,33427,OTHER,3310,"$7,703,046.29","$5,985,630.62",,,
CARDIOVASCULAR,33427,TOTAL,5248,"$8,370,009.29","$6,505,692.15",,,
CARDIOVASCULAR,33430,80S,5198,"$2,156,455.24","$1,683,328.43",,,
CARDIOVASCULAR,33430,OTHER,8480,"$24,198,782.66","$18,849,691.58",,,
CARDIOVASCULAR,33430,TOTAL,13678,"$26,355,237.90","$20,533,020.01",,,
CARDIOVASCULAR,33460,80S,14,"$4,599.42","$3,605.95",,,
CARDIOVASCULAR,33460,OTHER,21,"$44,870.84","$35,178.70",,,
CARDIOVASCULAR,33460,TOTAL,35,"$49,470.26","$38,784.65",,,
CARDIOVASCULAR,33463,80S,332,"$148,191.11","$116,120.32",,,
CARDIOVASCULAR,33463,OTHER,513,"$1,578,226.25","$1,235,173.76",,,
CARDIOVASCULAR,33463,TOTAL,845,"$1,726,417.36","$1,351,294.08",,,
CARDIOVASCULAR,33464,80S,1972,"$576,577.58","$451,735.92",,,
